#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000639    0
 2            3    0.000605    0
 3            6    0.000625    0
 4            9    0.000606    0
 5           16    0.000632    0
 6           24    0.000604    0
 7           42    0.001135    0
 8           61    0.001233    0
 9          108    0.001515    0
10          151    0.002100    0
11          253    0.002562    0
12          369    0.001906    0
13          607    0.003822    0
14          847    0.003986    0
15         1400    0.004337    0
16         1954    0.005191    0
17         3139    0.005719    0
18         4398    0.005792    0
19         6976    0.006934    0
20         9583    0.006610    0
21        15456    0.008718    0
22        20982    0.008177    0
23        32816    0.009524    0
24        45417    0.010254    0
25        70109    0.011192    0
26        94499    0.011793    0
27       148234    0.014192    0
28       200768    0.016192    0
29       308213    0.018358    0
30       415543    0.023085    0
31       634270    0.027124    0
32       849877    0.041847    0
33      1311244    0.057933    0
34      1739022    0.068196    0
35      2630061    0.109220    0
36      3540355    0.121444    0
37      5344961    0.156090    0
38      7051789    0.181818    0
39     10747207    0.305291    0
40     14158720    0.405889    0
41     21295570    0.530755    0
42     28188520    0.714761    0
43     42283059    1.168158    0
44     55560183    1.423909    0
45     83902379    1.943846    0
46    109416660    2.655863    0
47    163758608    4.094956    0
48    215578633    5.165066    0
49    322546325    7.992627    1
50    417931547   10.022267    1
51    630427082   16.157627    2
52    819313304   18.554154    2
53   1225749154   27.592906    3
54   1594365915   35.025546    4
55   2379621002   53.587960    7
56   3079772605   72.063083   10
57   4644363603  101.636721   14
58   5978202515  132.311260   18
59   8958100404  213.246066   31
60  11592193582  276.670230   38
61  17393090707  397.472627   59
62  22308026756  520.848933   72
63  33748401756  827.566066  126
64  43297822681 1090.037898  150
65  65121346897 1575.992830  240
66  83642904429 2074.173118  288
67 126159860860 3292.784222  506
68 161412021000 4305.352309  600
69 245282674245 6318.910981  974
70 312496982046 8269.948837 1155
#- ------------ ----------- ----
# even n: 3.155904e-08*n*1.368442^n
#  odd n: 3.290291e-08*n*1.369109^n
