#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000013    0
 2            3    0.000005    0
 3            6    0.000005    0
 4            9    0.000013    0
 5           16    0.000005    0
 6           24    0.000004    0
 7           42    0.000004    0
 8           61    0.000008    0
 9          108    0.000007    0
10          151    0.000007    0
11          253    0.000008    0
12          369    0.000010    0
13          607    0.000013    0
14          847    0.000025    0
15         1400    0.000021    0
16         1954    0.000028    0
17         3139    0.000053    0
18         4398    0.000065    0
19         6976    0.000099    0
20         9583    0.000117    0
21        15456    0.000207    0
22        20982    0.000261    0
23        32816    0.000392    0
24        45417    0.000531    0
25        70109    0.000795    0
26        94499    0.001163    0
27       148234    0.001713    0
28       200768    0.002427    0
29       308213    0.003588    0
30       415543    0.005003    0
31       634270    0.007487    0
32       849877    0.011724    0
33      1311244    0.018030    0
34      1739022    0.024609    0
35      2630061    0.036499    0
36      3540355    0.051050    0
37      5344961    0.076400    0
38      7051789    0.103789    0
39     10747207    0.154384    0
40     14158720    0.209849    0
41     21295570    0.311861    0
42     28188520    0.427323    0
43     42283059    0.630878    0
44     55560183    0.848962    0
45     83902379    1.279600    1
46    109416660    1.691699    1
47    163758608    2.516052    2
48    215578633    3.382281    3
49    322546325    5.075729    5
50    417931547    6.671443    6
51    630427082    9.991833    9
52    819313304   13.348576   13
53   1225749154   19.721949   19
54   1594365915   26.285341   26
55   2379621002   39.209275   39
56   3079772605   51.346531   51
57   4644363603   77.018650   77
58   5978202515  101.174975  101
59   8958100404  151.129100  151
60  11592193582  199.119992  199
61  17393090707  299.259896  299
62  22308026756  389.880426  389
63  33748401756  589.922580  589
64  43297822681  769.675711  769
65  65121346897 1160.284853 1160
66  83642904429 1517.692940 1517
67 126159860860 2291.015570 2291
68 161412021000 2980.478641 2980
69 245282674245 4542.237288 4542
70 312496982046 5895.386040 5895
#- ------------ ----------- ----
# even n: 1.354511e-08*n*1.379923^n
#  odd n: 1.370470e-08*n*1.381207^n
