#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000000    0
 2            3    0.000000    0
 3            6    0.000001    0
 4            9    0.000001    0
 5           16    0.000001    0
 6           24    0.000001    0
 7           42    0.000001    0
 8           61    0.000001    0
 9          108    0.000002    0
10          151    0.000003    0
11          253    0.000005    0
12          369    0.000007    0
13          607    0.000009    0
14          847    0.000012    0
15         1400    0.000018    0
16         1954    0.000027    0
17         3139    0.000041    0
18         4398    0.000058    0
19         6976    0.000094    0
20         9583    0.000126    0
21        15456    0.000189    0
22        20982    0.000273    0
23        32816    0.000424    0
24        45417    0.000590    0
25        70109    0.000899    0
26        94499    0.001266    0
27       148234    0.001897    0
28       200768    0.002680    0
29       308213    0.005381    0
30       415543    0.005625    0
31       634270    0.008517    0
32       849877    0.011524    0
33      1311244    0.020856    0
34      1739022    0.028692    0
35      2630061    0.036210    0
36      3540355    0.050105    0
37      5344961    0.074174    0
38      7051789    0.102545    0
39     10747207    0.189787    0
40     14158720    0.257222    0
41     21295570    0.476819    0
42     28188520    0.527153    0
43     42283059    0.617036    0
44     55560183    1.045629    1
45     83902379    2.022603    2
46    109416660    2.419547    2
47    163758608    2.476892    2
48    215578633    5.529611    5
49    322546325    4.954842    4
50    417931547    7.123549    7
51    630427082   17.363109   17
52    819313304   13.166676   13
53   1225749154   19.460402   19
54   1594365915   28.134896   28
55   2379621002   38.490958   38
56   3079772605   53.714894   53
57   4644363603   76.555249   76
58   5978202515  104.620357  104
59   8958100404  148.885090  148
60  11592193582  285.749167  285
61  17393090707  388.517362  388
62  22308026756  386.420762  386
63  33748401756  583.173527  583
64  43297822681  811.173421  811
65  65121346897 1175.775738 1175
66  83642904429 1541.778839 1541
67 126159860860 2302.947381 2303
68 161412021000 3020.630280 3020
69 245282674245 4576.855566 4577
70 312496982046 5947.972532 5948
#- ------------ ----------- ----
# even n: 2.536599e-08*n*1.367551^n
#  odd n: 2.548509e-08*n*1.368360^n
