#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000662    0
 2            3    0.000755    0
 3            6    0.000592    0
 4            9    0.000465    0
 5           16    0.000678    0
 6           24    0.000613    0
 7           42    0.002002    0
 8           61    0.002124    0
 9          108    0.002595    0
10          151    0.003030    0
11          253    0.002778    0
12          369    0.003341    0
13          607    0.004497    0
14          847    0.003575    0
15         1400    0.005114    0
16         1954    0.003996    0
17         3139    0.004614    0
18         4398    0.004314    0
19         6976    0.005114    0
20         9583    0.006101    0
21        15456    0.005147    0
22        20982    0.005824    0
23        32816    0.006883    0
24        45417    0.006985    0
25        70109    0.007214    0
26        94499    0.007853    0
27       148234    0.008488    0
28       200768    0.010485    0
29       308213    0.009812    0
30       415543    0.010022    0
31       634270    0.012838    0
32       849877    0.016840    0
33      1311244    0.019032    0
34      1739022    0.023912    0
35      2630061    0.027242    0
36      3540355    0.041098    0
37      5344961    0.060741    0
38      7051789    0.087370    0
39     10747207    0.129562    0
40     14158720    0.168280    0
41     21295570    0.244917    0
42     28188520    0.335549    0
43     42283059    0.526589    0
44     55560183    0.727172    0
45     83902379    1.088156    0
46    109416660    1.487901    0
47    163758608    2.477079    0
48    215578633    3.354924    0
49    322546325    4.809866    0
50    417931547    6.424032    0
51    630427082   10.363396    1
52    819313304   13.799370    1
53   1225749154   19.507616    2
54   1594365915   25.950458    3
55   2379621002   41.439573    5
56   3079772605   54.740455    7
57   4644363603   78.004566   11
58   5978202515  102.016966   13
59   8958100404  163.876471   23
60  11592193582  215.188917   29
61  17393090707  305.878486   44
62  22308026756  400.433248   54
63  33748401756  648.233537   93
64  43297822681  847.530081  115
65  65121346897 1210.774889  175
66  83642904429 1580.966699  214
67 126159860860 2557.050473  371
68 161412021000 3328.569050  453
69 245282674245 4804.426397  701
70 312496982046 6218.926721  849
#- ------------ ----------- ----
# even n: 7.644948e-09*n*1.393883^n
#  odd n: 7.802895e-09*n*1.395163^n
