#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.001894    0
 2            3    0.001072    0
 3            6    0.001510    0
 4            9    0.001195    0
 5           16    0.001230    0
 6           24    0.000725    0
 7           42    0.002155    0
 8           61    0.002353    0
 9          108    0.002633    0
10          151    0.003145    0
11          253    0.003109    0
12          369    0.003820    0
13          607    0.004345    0
14          847    0.004332    0
15         1400    0.003424    0
16         1954    0.006073    0
17         3139    0.003541    0
18         4398    0.005972    0
19         6976    0.006535    0
20         9583    0.006432    0
21        15456    0.007929    0
22        20982    0.008417    0
23        32816    0.008194    0
24        45417    0.008318    0
25        70109    0.008809    0
26        94499    0.008360    0
27       148234    0.011399    0
28       200768    0.012068    0
29       308213    0.014837    0
30       415543    0.018089    0
31       634270    0.021405    0
32       849877    0.022701    0
33      1311244    0.030010    0
34      1739022    0.041009    0
35      2630061    0.056874    0
36      3540355    0.073028    0
37      5344961    0.105893    0
38      7051789    0.108181    0
39     10747207    0.178259    0
40     14158720    0.234698    0
41     21295570    0.391426    0
42     28188520    0.468349    0
43     42283059    0.682591    0
44     55560183    0.984448    0
45     83902379    1.231800    0
46    109416660    1.698946    0
47    163758608    2.543726    0
48    215578633    3.430648    0
49    322546325    4.816707    0
50    417931547    6.462577    1
51    630427082    9.662090    1
52    819313304   12.750459    2
53   1225749154   19.145699    3
54   1594365915   25.660025    4
55   2379621002   38.697713    7
56   3079772605   51.697211    8
57   4644363603   78.337239   14
58   5978202515  103.534807   18
59   8958100404  157.811217   29
60  11592193582  207.447470   36
61  17393090707  315.381042   59
62  22308026756  409.824831   72
63  33748401756  626.532395  116
64  43297822681  810.993632  142
65  65121346897 1240.560980  231
66  83642904429 1612.493233  282
67 126159860860 2468.868804  459
68 161412021000 3186.355447  556
69 245282674245 4878.668647  917
70 312496982046 6393.648912 1140
#- ------------ ----------- ----
# even n: 1.437378e-08*n*1.379452^n
#  odd n: 1.403410e-08*n*1.381509^n
