#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000004    0
 2            3    0.000004    0
 3            6    0.000004    0
 4            9    0.000005    0
 5           16    0.000004    0
 6           24    0.000004    0
 7           42    0.000004    0
 8           61    0.000004    0
 9          108    0.000005    0
10          151    0.000005    0
11          253    0.000008    0
12          369    0.000009    0
13          607    0.000013    0
14          847    0.000016    0
15         1400    0.000024    0
16         1954    0.000032    0
17         3139    0.000047    0
18         4398    0.000067    0
19         6976    0.000099    0
20         9583    0.000141    0
21        15456    0.000211    0
22        20982    0.000299    0
23        32816    0.000477    0
24        45417    0.000626    0
25        70109    0.000949    0
26        94499    0.001383    0
27       148234    0.001873    0
28       200768    0.002615    0
29       308213    0.004074    0
30       415543    0.005216    0
31       634270    0.008121    0
32       849877    0.010569    0
33      1311244    0.016184    0
34      1739022    0.021950    0
35      2630061    0.032739    0
36      3540355    0.045748    0
37      5344961    0.068236    0
38      7051789    0.092404    0
39     10747207    0.138898    0
40     14158720    0.186365    0
41     21295570    0.302539    0
42     28188520    0.375814    0
43     42283059    0.568876    0
44     55560183    0.754692    0
45     83902379    1.125978    1
46    109416660    1.506818    1
47    163758608    2.235913    2
48    215578633    3.052766    3
49    322546325    4.534090    4
50    417931547    6.030691    6
51    630427082    8.997858    8
52    819313304   11.841096   11
53   1225749154   17.595649   17
54   1594365915   23.482963   23
55   2379621002   34.802336   34
56   3079772605   46.612918   46
57   4644363603   69.796169   69
58   5978202515   92.064283   92
59   8958100404  137.307855  137
60  11592193582  180.286951  180
61  17393090707  269.730928  269
62  22308026756  356.995503  357
63  33748401756  535.172881  535
64  43297822681  708.501710  708
65  65121346897 1055.616638 1055
66  83642904429 1388.192008 1388
67 126159860860 2093.835600 2093
68 161412021000 2751.603494 2751
69 245282674245 4173.929012 4174
70 312496982046 5454.518335 5454
#- ------------ ----------- ----
# even n: 1.126056e-08*n*1.382011^n
#  odd n: 1.239118e-08*n*1.381234^n
