#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000000    0
 2            3    0.000001    0
 3            6    0.000001    0
 4            9    0.000001    0
 5           16    0.000001    0
 6           24    0.000001    0
 7           42    0.000001    0
 8           61    0.000002    0
 9          108    0.000003    0
10          151    0.000003    0
11          253    0.000005    0
12          369    0.000007    0
13          607    0.000010    0
14          847    0.000015    0
15         1400    0.000022    0
16         1954    0.000031    0
17         3139    0.000048    0
18         4398    0.000068    0
19         6976    0.000112    0
20         9583    0.000141    0
21        15456    0.000219    0
22        20982    0.000305    0
23        32816    0.000486    0
24        45417    0.000670    0
25        70109    0.001042    0
26        94499    0.001456    0
27       148234    0.002395    0
28       200768    0.003315    0
29       308213    0.005622    0
30       415543    0.007801    0
31       634270    0.011808    0
32       849877    0.015367    0
33      1311244    0.025480    0
34      1739022    0.035008    0
35      2630061    0.050492    0
36      3540355    0.056262    0
37      5344961    0.116262    0
38      7051789    0.155507    0
39     10747207    0.224629    0
40     14158720    0.317810    0
41     21295570    0.495659    0
42     28188520    0.488715    0
43     42283059    0.804741    0
44     55560183    0.988973    0
45     83902379    2.088076    2
46    109416660    2.749168    2
47    163758608    4.210228    4
48    215578633    5.615610    5
49    322546325    8.555025    8
50    417931547    9.321385    9
51    630427082   16.755060   16
52    819313304   16.005631   16
53   1225749154   34.921669   34
54   1594365915   46.408923   46
55   2379621002   52.761371   52
56   3079772605   92.869830   92
57   4644363603   94.163435   94
58   5978202515  125.409748  125
59   8958100404  188.138466  188
60  11592193582  261.606684  261
61  17393090707  390.486180  390
62  22308026756  514.713168  514
63  33748401756  741.837169  741
64  43297822681  974.322508  974
65  65121346897 1490.004527 1490
66  83642904429 1948.188076 1948
67 126159860860 2975.273288 2975
68 161412021000 3849.705444 3850
69 245282674245 6018.541260 6019
70 312496982046 7736.248567 7736
#- ------------ ----------- ----
# even n: 2.156254e-08*n*1.376339^n
#  odd n: 3.270525e-08*n*1.368342^n
