#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000690    0
 2            3    0.001560    0
 3            6    0.001425    0
 4            9    0.001383    0
 5           16    0.002035    0
 6           24    0.002008    0
 7           42    0.007955    0
 8           61    0.008993    0
 9          108    0.011326    0
10          151    0.013247    0
11          253    0.016139    0
12          369    0.019819    0
13          607    0.022715    0
14          847    0.026746    0
15         1400    0.028088    0
16         1954    0.027718    0
17         3139    0.025561    0
18         4398    0.029291    0
19         6976    0.033525    0
20         9583    0.038145    0
21        15456    0.041175    0
22        20982    0.039697    0
23        32816    0.048226    0
24        45417    0.041872    0
25        70109    0.047482    0
26        94499    0.059808    0
27       148234    0.061404    0
28       200768    0.066043    0
29       308213    0.066850    0
30       415543    0.069992    0
31       634270    0.074966    0
32       849877    0.084749    0
33      1311244    0.095993    0
34      1739022    0.102176    0
35      2630061    0.106063    0
36      3540355    0.121633    0
37      5344961    0.170700    0
38      7051789    0.193896    0
39     10747207    0.231954    0
40     14158720    0.277855    0
41     21295570    0.411894    0
42     28188520    0.622589    0
43     42283059    0.756433    0
44     55560183    1.082854    0
45     83902379    1.757052    0
46    109416660    2.426647    0
47    163758608    2.970107    0
48    215578633    4.136878    0
49    322546325    6.967242    1
50    417931547    9.167455    1
51    630427082   11.720986    1
52    819313304   16.321590    2
53   1225749154   26.997510    3
54   1594365915   36.382188    5
55   2379621002   48.023990    6
56   3079772605   65.078148    9
57   4644363603  105.910166   15
58   5978202515  142.049523   19
59   8958100404  188.671838   27
60  11592193582  250.607846   34
61  17393090707  425.653473   61
62  22308026756  554.900031   76
63  33748401756  759.292121  111
64  43297822681  993.538602  135
65  65121346897 1688.690916  242
66  83642904429 2193.664975  301
67 126159860860 2971.848111  432
68 161412021000 3904.780107  528
69 245282674245 6628.109725  966
70 312496982046 8571.226169 1171
#- ------------ ----------- ----
# even n: 3.372851e-07*1.407131^n
#  odd n: 2.899143e-07*1.412080^n
