#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000473    0
 2            3    0.000439    0
 3            6    0.000517    0
 4            9    0.000513    0
 5           16    0.000499    0
 6           24    0.000510    0
 7           42    0.000827    0
 8           61    0.001061    0
 9          108    0.001514    0
10          151    0.001522    0
11          253    0.001983    0
12          369    0.002279    0
13          607    0.002791    0
14          847    0.002938    0
15         1400    0.003453    0
16         1954    0.003750    0
17         3139    0.004144    0
18         4398    0.004791    0
19         6976    0.005351    0
20         9583    0.005509    0
21        15456    0.005712    0
22        20982    0.006563    0
23        32816    0.006799    0
24        45417    0.007661    0
25        70109    0.008261    0
26        94499    0.009069    0
27       148234    0.011266    0
28       200768    0.013877    0
29       308213    0.015016    0
30       415543    0.018185    0
31       634270    0.028966    0
32       849877    0.053854    0
33      1311244    0.051602    0
34      1739022    0.061586    0
35      2630061    0.098988    0
36      3540355    0.144585    0
37      5344961    0.119329    0
38      7051789    0.156381    0
39     10747207    0.417450    0
40     14158720    0.544542    0
41     21295570    0.389691    0
42     28188520    0.614051    0
43     42283059    1.598728    0
44     55560183    2.369046    0
45     83902379    1.362398    0
46    109416660    1.790896    0
47    163758608    6.795059    1
48    215578633    9.792798    1
49    322546325    5.672559    1
50    417931547    7.398979    1
51    630427082   28.419757    5
52    819313304   39.676215    7
53   1225749154   20.384329    3
54   1594365915   26.384276    4
55   2379621002  121.072130   22
56   3079772605  159.471269   28
57   4644363603   77.039076   14
58   5978202515  101.238087   17
59   8958100404  489.181476   97
60  11592193582  632.105845  117
61  17393090707  300.026307   56
62  22308026756  399.187484   71
63  33748401756 1923.511008  342
64  43297822681 2382.739194  405
65  65121346897 1188.722901  225
66  83642904429 1596.619203  284
67 126159860860 7365.353118 1502
68 161412021000 9311.337814 1674
69 245282674245 4573.297126  872
70 312496982046 5999.322524 1066
#- ------------ ----------- ----
# even n: 3.512203e-08*n*1.370646^n
#  odd n: 2.263847e-08*n*1.382137^n
