#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000002    0
 2            3    0.000002    0
 3            6    0.000002    0
 4            9    0.000004    0
 5           16    0.000003    0
 6           24    0.000003    0
 7           42    0.000003    0
 8           61    0.000003    0
 9          108    0.000003    0
10          151    0.000004    0
11          253    0.000004    0
12          369    0.000006    0
13          607    0.000008    0
14          847    0.000011    0
15         1400    0.000014    0
16         1954    0.000022    0
17         3139    0.000030    0
18         4398    0.000042    0
19         6976    0.000061    0
20         9583    0.000084    0
21        15456    0.000127    0
22        20982    0.000175    0
23        32816    0.000271    0
24        45417    0.000369    0
25        70109    0.000560    0
26        94499    0.000748    0
27       148234    0.001160    0
28       200768    0.001602    0
29       308213    0.002433    0
30       415543    0.003316    0
31       634270    0.005051    0
32       849877    0.006460    0
33      1311244    0.009962    0
34      1739022    0.013573    0
35      2630061    0.020495    0
36      3540355    0.027926    0
37      5344961    0.042252    0
38      7051789    0.057207    0
39     10747207    0.086920    0
40     14158720    0.116716    0
41     21295570    0.174841    0
42     28188520    0.235431    0
43     42283059    0.359244    0
44     55560183    0.483587    0
45     83902379    0.730299    0
46    109416660    0.971713    0
47    163758608    1.462863    1
48    215578633    1.958504    1
49    322546325    2.941269    2
50    417931547    3.874777    3
51    630427082    5.893321    5
52    819313304    7.781520    7
53   1225749154   11.650591   11
54   1594365915   15.399758   15
55   2379621002   23.480903   23
56   3079772605   31.017036   31
57   4644363603   47.008440   47
58   5978202515   61.434666   61
59   8958100404   92.237639   92
60  11592193582  121.212388  121
61  17393090707  186.957216  186
62  22308026756  242.947686  242
63  33748401756  371.381174  371
64  43297822681  484.023199  484
65  65121346897  735.266645  735
66  83642904429  960.707854  960
67 126159860860 1470.454363 1470
68 161412021000 1896.846146 1896
69 245282674245 2924.884367 2924
70 312496982046 3766.873761 3766
#- ------------ ----------- ----
# even n: 6.132520e-09*n*1.386874^n
#  odd n: 6.230081e-09*n*1.388269^n
