#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000407    0
 2            3    0.000412    0
 3            6    0.000404    0
 4            9    0.000496    0
 5           16    0.000392    0
 6           24    0.000381    0
 7           42    0.001986    0
 8           61    0.002633    0
 9          108    0.003764    0
10          151    0.005183    0
11          253    0.006389    0
12          369    0.007572    0
13          607    0.009010    0
14          847    0.009348    0
15         1400    0.011234    0
16         1954    0.013447    0
17         3139    0.014603    0
18         4398    0.017630    0
19         6976    0.017668    0
20         9583    0.019313    0
21        15456    0.022320    0
22        20982    0.022829    0
23        32816    0.026480    0
24        45417    0.026153    0
25        70109    0.028682    0
26        94499    0.028469    0
27       148234    0.031525    0
28       200768    0.033690    0
29       308213    0.036266    0
30       415543    0.039573    0
31       634270    0.042205    0
32       849877    0.048400    0
33      1311244    0.053322    0
34      1739022    0.059631    0
35      2630061    0.072933    0
36      3540355    0.088480    0
37      5344961    0.113522    0
38      7051789    0.140607    0
39     10747207    0.195789    0
40     14158720    0.247875    0
41     21295570    0.359217    0
42     28188520    0.473531    0
43     42283059    0.684271    0
44     55560183    0.914928    0
45     83902379    1.369794    0
46    109416660    1.826396    0
47    163758608    2.703770    0
48    215578633    3.665368    0
49    322546325    5.494015    0
50    417931547    7.235073    0
51    630427082   10.916048    1
52    819313304   14.508296    1
53   1225749154   21.679120    3
54   1594365915   28.773909    3
55   2379621002   42.954123    6
56   3079772605   56.659166    7
57   4644363603   85.537476   12
58   5978202515  112.243621   15
59   8958100404  168.813923   24
60  11592193582  222.345051   30
61  17393090707  334.578958   48
62  22308026756  437.202570   59
63  33748401756  663.736771   96
64  43297822681  868.742860  118
65  65121346897 1309.852245  191
66  83642904429 1717.246236  233
67 126159860860 2604.043408  381
68 161412021000 3384.164784  462
69 245282674245 5188.339855  761
70 312496982046 6745.539353  921
#- ------------ ----------- ----
# even n: 1.432313e-08*n*1.381171^n
#  odd n: 1.400974e-08*n*1.383240^n
