#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000002    0
 2            3    0.000001    0
 3            6    0.000004    0
 4            9    0.000005    0
 5           16    0.000004    0
 6           24    0.000005    0
 7           42    0.000005    0
 8           61    0.000005    0
 9          108    0.000004    0
10          151    0.000006    0
11          253    0.000005    0
12          369    0.000011    0
13          607    0.000007    0
14          847    0.000014    0
15         1400    0.000015    0
16         1954    0.000023    0
17         3139    0.000034    0
18         4398    0.000049    0
19         6976    0.000073    0
20         9583    0.000102    0
21        15456    0.000152    0
22        20982    0.000211    0
23        32816    0.000314    0
24        45417    0.000441    0
25        70109    0.000668    0
26        94499    0.000913    0
27       148234    0.001399    0
28       200768    0.001937    0
29       308213    0.002938    0
30       415543    0.004032    0
31       634270    0.006093    0
32       849877    0.008365    0
33      1311244    0.012730    0
34      1739022    0.017261    0
35      2630061    0.025932    0
36      3540355    0.035567    0
37      5344961    0.053470    0
38      7051789    0.072248    0
39     10747207    0.109422    0
40     14158720    0.147469    0
41     21295570    0.221179    0
42     28188520    0.298311    0
43     42283059    0.447183    0
44     55560183    0.599989    0
45     83902379    0.903077    0
46    109416660    1.201611    1
47    163758608    1.799932    1
48    215578633    2.410120    2
49    322546325    3.610954    3
50    417931547    4.764800    4
51    630427082    7.191301    7
52    819313304    9.511691    9
53   1225749154   14.274653   14
54   1594365915   18.864962   18
55   2379621002   28.274704   28
56   3079772605   37.196995   37
57   4644363603   56.265352   56
58   5978202515   73.604164   73
59   8958100404  110.946212  111
60  11592193582  145.633603  145
61  17393090707  219.891299  220
62  22308026756  286.375700  286
63  33748401756  435.813300  436
64  43297822681  568.239897  568
65  65121346897  861.252863  862
66  83642904429 1121.768508 1123
67 126159860860 1706.498345 1708
68 161412021000 2215.041969 2218
69 245282674245 3393.721966 3399
70 312496982046 4388.152871 4394
#- ------------ ----------- ----
# even n: 8.692862e-09*n*1.382889^n
#  odd n: 8.849580e-09*n*1.384143^n
