#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000602    0
 2            3    0.000760    0
 3            6    0.000684    0
 4            9    0.000745    0
 5           16    0.000649    0
 6           24    0.000704    0
 7           42    0.000789    0
 8           61    0.000743    0
 9          108    0.001057    0
10          151    0.001135    0
11          253    0.001368    0
12          369    0.001353    0
13          607    0.001533    0
14          847    0.001604    0
15         1400    0.002038    0
16         1954    0.002000    0
17         3139    0.002286    0
18         4398    0.002306    0
19         6976    0.002683    0
20         9583    0.002860    0
21        15456    0.003067    0
22        20982    0.003371    0
23        32816    0.003850    0
24        45417    0.004126    0
25        70109    0.004698    0
26        94499    0.005195    0
27       148234    0.006159    0
28       200768    0.007358    0
29       308213    0.009125    0
30       415543    0.011379    0
31       634270    0.015032    0
32       849877    0.019457    0
33      1311244    0.026563    0
34      1739022    0.035644    0
35      2630061    0.051492    0
36      3540355    0.067525    0
37      5344961    0.099145    0
38      7051789    0.132790    0
39     10747207    0.197096    0
40     14158720    0.266064    0
41     21295570    0.382872    0
42     28188520    0.497208    0
43     42283059    0.726863    0
44     55560183    0.942250    0
45     83902379    1.383397    0
46    109416660    1.859231    0
47    163758608    2.729232    0
48    215578633    3.647374    0
49    322546325    5.406915    1
50    417931547    7.190419    1
51    630427082   10.707257    1
52    819313304   14.260357    2
53   1225749154   21.207676    3
54   1594365915   28.245857    4
55   2379621002   42.081747    7
56   3079772605   55.687147    9
57   4644363603   83.459657   15
58   5978202515  110.318846   19
59   8958100404  164.451317   31
60  11592193582  218.232949   38
61  17393090707  326.456948   61
62  22308026756  429.742008   76
63  33748401756  647.172680  122
64  43297822681  852.627575  150
65  65121346897 1279.709350  241
66  83642904429 1685.058950  296
67 126159860860 2537.361411  478
68 161412021000 3330.549138  584
69 245282674245 5047.254249  960
70 312496982046 6598.607627 1184
#- ------------ ----------- ----
# even n: 1.630337e-08*n*1.377882^n
#  odd n: 1.611905e-08*n*1.379530^n
