#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000001    0
 2            3    0.000001    0
 3            6    0.000002    0
 4            9    0.000002    0
 5           16    0.000003    0
 6           24    0.000002    0
 7           42    0.000002    0
 8           61    0.000003    0
 9          108    0.000018    0
10          151    0.000005    0
11          253    0.000005    0
12          369    0.000007    0
13          607    0.000011    0
14          847    0.000013    0
15         1400    0.000033    0
16         1954    0.000054    0
17         3139    0.000082    0
18         4398    0.000112    0
19         6976    0.000143    0
20         9583    0.000183    0
21        15456    0.000311    0
22        20982    0.000329    0
23        32816    0.000466    0
24        45417    0.000641    0
25        70109    0.000941    0
26        94499    0.001263    0
27       148234    0.001943    0
28       200768    0.002716    0
29       308213    0.004054    0
30       415543    0.005572    0
31       634270    0.008605    0
32       849877    0.011687    0
33      1311244    0.018066    0
34      1739022    0.024077    0
35      2630061    0.036265    0
36      3540355    0.050044    0
37      5344961    0.074844    0
38      7051789    0.101302    0
39     10747207    0.152850    0
40     14158720    0.206650    0
41     21295570    0.310406    0
42     28188520    0.418380    0
43     42283059    0.626254    0
44     55560183    0.855509    0
45     83902379    1.266387    1
46    109416660    1.712880    1
47    163758608    2.515613    2
48    215578633    3.372205    3
49    322546325    5.042714    5
50    417931547    6.671558    6
51    630427082   10.039070   10
52    819313304   13.322866   13
53   1225749154   19.928988   19
54   1594365915   26.399071   26
55   2379621002   39.834378   39
56   3079772605   52.088055   52
57   4644363603   78.658381   78
58   5978202515  103.191402  103
59   8958100404  155.012013  155
60  11592193582  204.404119  204
61  17393090707  307.692431  307
62  22308026756  402.636920  402
63  33748401756  610.366127  610
64  43297822681  798.983099  799
65  65121346897 1216.356577 1216
66  83642904429 1584.899101 1584
67 126159860860 2392.472678 2392
68 161412021000 3122.596424 3122
69 245282674245 4761.535869 4761
70 312496982046 6193.283136 6193
#- ------------ ----------- ----
# even n: 1.222807e-08*n*1.382888^n
#  odd n: 1.232740e-08*n*1.384286^n
