#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000616    0
 2            3    0.000676    0
 3            6    0.000604    0
 4            9    0.000685    0
 5           16    0.000646    0
 6           24    0.000694    0
 7           42    0.001415    0
 8           61    0.001507    0
 9          108    0.001698    0
10          151    0.001959    0
11          253    0.001969    0
12          369    0.002020    0
13          607    0.002311    0
14          847    0.002683    0
15         1400    0.002952    0
16         1954    0.003031    0
17         3139    0.003282    0
18         4398    0.003562    0
19         6976    0.003976    0
20         9583    0.004103    0
21        15456    0.004324    0
22        20982    0.004605    0
23        32816    0.005418    0
24        45417    0.005800    0
25        70109    0.006303    0
26        94499    0.007404    0
27       148234    0.008530    0
28       200768    0.009399    0
29       308213    0.011837    0
30       415543    0.015195    0
31       634270    0.020175    0
32       849877    0.024263    0
33      1311244    0.035939    0
34      1739022    0.046198    0
35      2630061    0.063145    0
36      3540355    0.084626    0
37      5344961    0.129816    0
38      7051789    0.174324    0
39     10747207    0.237027    0
40     14158720    0.318941    0
41     21295570    0.500362    0
42     28188520    0.664073    0
43     42283059    0.904916    0
44     55560183    1.212701    0
45     83902379    1.954305    0
46    109416660    2.592347    0
47    163758608    3.559582    0
48    215578633    4.797851    0
49    322546325    7.719767    1
50    417931547   10.200295    1
51    630427082   14.165554    2
52    819313304   18.913937    3
53   1225749154   30.419948    5
54   1594365915   40.262865    7
55   2379621002   55.742502   10
56   3079772605   73.994409   12
57   4644363603  119.573937   21
58   5978202515  156.748504   28
59   8958100404  218.629540   41
60  11592193582  290.097189   51
61  17393090707  466.379172   88
62  22308026756  608.835942  108
63  33748401756  860.716583  162
64  43297822681 1133.456762  199
65  65121346897 1824.163940  344
66  83642904429 2381.013663  420
67 126159860860 3375.391429  635
68 161412021000 4429.006192  776
69 245282674245 7175.051008 1365
70 312496982046 9306.066324 1675
#- ------------ ----------- ----
# even n: 1.930269e-08*n*1.381240^n
#  odd n: 1.969231e-08*n*1.382293^n
