#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000002    0
 2            3    0.000002    0
 3            6    0.000003    0
 4            9    0.000003    0
 5           16    0.000003    0
 6           24    0.000005    0
 7           42    0.000003    0
 8           61    0.000003    0
 9          108    0.000004    0
10          151    0.000005    0
11          253    0.000021    0
12          369    0.000009    0
13          607    0.000027    0
14          847    0.000017    0
15         1400    0.000026    0
16         1954    0.000035    0
17         3139    0.000053    0
18         4398    0.000075    0
19         6976    0.000113    0
20         9583    0.000189    0
21        15456    0.000252    0
22        20982    0.000352    0
23        32816    0.000535    0
24        45417    0.000764    0
25        70109    0.001145    0
26        94499    0.001613    0
27       148234    0.002445    0
28       200768    0.003439    0
29       308213    0.005182    0
30       415543    0.007217    0
31       634270    0.010890    0
32       849877    0.016120    0
33      1311244    0.024154    0
34      1739022    0.032951    0
35      2630061    0.049544    0
36      3540355    0.068061    0
37      5344961    0.102654    0
38      7051789    0.138375    0
39     10747207    0.212987    0
40     14158720    0.281375    0
41     21295570    0.422112    0
42     28188520    0.569884    0
43     42283059    0.853406    0
44     55560183    1.140728    1
45     83902379    1.729083    1
46    109416660    2.285938    2
47    163758608    3.420480    3
48    215578633    4.568061    4
49    322546325    6.866428    6
50    417931547    9.043219    9
51    630427082   13.724986   13
52    819313304   18.079716   18
53   1225749154   27.049968   27
54   1594365915   35.747838   35
55   2379621002   53.572057   53
56   3079772605   70.749493   70
57   4644363603  106.719839  106
58   5978202515  139.353407  139
59   8958100404  210.442681  210
60  11592193582  275.848056  275
61  17393090707  417.017460  417
62  22308026756  542.612463  542
63  33748401756  826.977049  826
64  43297822681 1079.031517 1079
65  65121346897 1632.259940 1632
66  83642904429 2123.598119 2123
67 126159860860 3232.732221 3232
68 161412021000 4193.064330 4192
69 245282674245 6438.113949 6437
70 312496982046 8302.202535 8302
#- ------------ ----------- ----
# even n: 1.672290e-08*n*1.382553^n
#  odd n: 1.708827e-08*n*1.383741^n
