#n        count          cpu wall
#- ------------ ------------ ----
 1            2     0.000219    0
 2            3     0.000175    0
 3            6     0.000235    0
 4            9     0.000206    0
 5           16     0.000201    0
 6           24     0.000237    0
 7           42     0.000404    0
 8           61     0.000426    0
 9          108     0.000789    0
10          151     0.000638    0
11          253     0.001486    0
12          369     0.001125    0
13          607     0.001510    0
14          847     0.001712    0
15         1400     0.001684    0
16         1954     0.002077    0
17         3139     0.002271    0
18         4398     0.002296    0
19         6976     0.002739    0
20         9583     0.003175    0
21        15456     0.003003    0
22        20982     0.003728    0
23        32816     0.004373    0
24        45417     0.004836    0
25        70109     0.006565    0
26        94499     0.006300    0
27       148234     0.008545    0
28       200768     0.010500    0
29       308213     0.015554    0
30       415543     0.018634    0
31       634270     0.029753    0
32       849877     0.039076    0
33      1311244     0.056730    0
34      1739022     0.076099    0
35      2630061     0.073682    0
36      3540355     0.097100    0
37      5344961     0.136364    0
38      7051789     0.191389    0
39     10747207     0.259639    0
40     14158720     0.377911    0
41     21295570     0.579611    0
42     28188520     0.665534    0
43     42283059     1.005742    0
44     55560183     1.356659    0
45     83902379     2.017523    1
46    109416660     2.679426    1
47    163758608     3.983793    1
48    215578633     5.358739    2
49    322546325     7.992060    3
50    417931547    10.625417    5
51    630427082    15.969667    7
52    819313304    21.263104   10
53   1225749154    31.691068   15
54   1594365915    42.313280   21
55   2379621002    62.872121   31
56   3079772605    83.545017   41
57   4644363603   125.391092   62
58   5978202515   165.905375   82
59   8958100404   248.380007  124
60  11592193582   329.263765  164
61  17393090707   493.896979  246
62  22308026756   649.873637  324
63  33748401756   979.356839  489
64  43297822681  1290.296284  644
65  65121346897  1944.306121  971
66  83642904429  2555.080814 1277
67 126159860860  3853.428767 1926
68 161412021000  5056.862653 2527
69 245282674245  7661.855409 3829
70 312496982046 10019.803244 5008
#- ------------ ------------ ----
# even n: 2.051787e-08*n*1.381923^n
#  odd n: 2.172459e-08*n*1.382063^n
