#n        count          cpu  wall
#- ------------ ------------ -----
 1            2     0.000001     0
 2            3     0.000001     0
 3            6     0.000001     0
 4            9     0.000001     0
 5           16     0.000002     0
 6           24     0.000001     0
 7           42     0.000002     0
 8           61     0.000002     0
 9          108     0.000003     0
10          151     0.000004     0
11          253     0.000006     0
12          369     0.000008     0
13          607     0.000013     0
14          847     0.000017     0
15         1400     0.000027     0
16         1954     0.000039     0
17         3139     0.000069     0
18         4398     0.000085     0
19         6976     0.000135     0
20         9583     0.000191     0
21        15456     0.000297     0
22        20982     0.000413     0
23        32816     0.000617     0
24        45417     0.000877     0
25        70109     0.001351     0
26        94499     0.001871     0
27       148234     0.002995     0
28       200768     0.004043     0
29       308213     0.006174     0
30       415543     0.008544     0
31       634270     0.012967     0
32       849877     0.017869     0
33      1311244     0.028238     0
34      1739022     0.037246     0
35      2630061     0.058070     0
36      3540355     0.077209     0
37      5344961     0.116449     0
38      7051789     0.158574     0
39     10747207     0.239076     0
40     14158720     0.322803     0
41     21295570     0.483717     0
42     28188520     0.654133     0
43     42283059     0.985056     0
44     55560183     1.318915     1
45     83902379     2.035735     2
46    109416660     2.653927     2
47    163758608     3.977477     3
48    215578633     5.321593     5
49    322546325     8.064844     8
50    417931547    10.715218    10
51    630427082    16.212627    16
52    819313304    21.195806    21
53   1225749154    31.812777    31
54   1594365915    42.048835    42
55   2379621002    63.151976    63
56   3079772605    83.301966    83
57   4644363603   125.883790   125
58   5978202515   166.442364   166
59   8958100404   248.903477   248
60  11592193582   326.679960   326
61  17393090707   492.666211   492
62  22308026756   645.555307   645
63  33748401756   981.079694   981
64  43297822681  1283.205286  1283
65  65121346897  1941.400268  1941
66  83642904429  2533.924258  2533
67 126159860860  3854.032397  3854
68 161412021000  5133.841902  5132
69 245282674245  7713.778025  7711
70 312496982046 10004.270517 10001
#- ------------ ------------ -----
# even n: 1.793715e-08*n*1.384935^n
#  odd n: 1.885605e-08*n*1.385372^n
