#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000001    0
 2            3    0.000001    0
 3            6    0.000001    0
 4            9    0.000001    0
 5           16    0.000001    0
 6           24    0.000001    0
 7           42    0.000002    0
 8           61    0.000002    0
 9          108    0.000003    0
10          151    0.000003    0
11          253    0.000005    0
12          369    0.000007    0
13          607    0.000011    0
14          847    0.000017    0
15         1400    0.000023    0
16         1954    0.000034    0
17         3139    0.000054    0
18         4398    0.000076    0
19         6976    0.000119    0
20         9583    0.000179    0
21        15456    0.000268    0
22        20982    0.000357    0
23        32816    0.000538    0
24        45417    0.000768    0
25        70109    0.001228    0
26        94499    0.001804    0
27       148234    0.002456    0
28       200768    0.003432    0
29       308213    0.005253    0
30       415543    0.008302    0
31       634270    0.011146    0
32       849877    0.016226    0
33      1311244    0.022774    0
34      1739022    0.032850    0
35      2630061    0.050327    0
36      3540355    0.064402    0
37      5344961    0.093813    0
38      7051789    0.131074    0
39     10747207    0.206233    0
40     14158720    0.266387    0
41     21295570    0.416421    0
42     28188520    0.548544    0
43     42283059    0.805200    0
44     55560183    1.130883    1
45     83902379    1.682811    1
46    109416660    2.167942    2
47    163758608    3.250778    3
48    215578633    4.358818    4
49    322546325    6.747675    6
50    417931547    8.649613    8
51    630427082   13.499149   13
52    819313304   17.605910   17
53   1225749154   26.474507   26
54   1594365915   35.743337   35
55   2379621002   52.753368   52
56   3079772605   70.113549   70
57   4644363603  108.690588  108
58   5978202515  138.775540  138
59   8958100404  210.851016  210
60  11592193582  279.151952  279
61  17393090707  414.178685  414
62  22308026756  539.399029  539
63  33748401756  826.727531  826
64  43297822681 1069.216999 1069
65  65121346897 1617.159818 1617
66  83642904429 2124.833954 2125
67 126159860860 3277.424373 3277
68 161412021000 4209.023021 4210
69 245282674245 6428.465021 6430
70 312496982046 8978.036515 8977
#- ------------ ----------- ----
# even n: 1.423504e-08*n*1.386283^n
#  odd n: 1.540649e-08*n*1.386007^n
