#n     count        cpu wall
#- --------- ---------- ----
 1         2   0.000002   0
 2         3   0.000003   0
 3         6   0.000002   0
 4         9   0.000003   0
 5        16   0.000005   0
 6        24   0.000008   0
 7        42   0.000016   0
 8        61   0.000030   0
 9       108   0.000043   0
10       151   0.000063   0
11       253   0.000114   0
12       369   0.000175   0
13       607   0.000302   0
14       847   0.000440   0
15      1400   0.000787   0
16      1954   0.001116   0
17      3139   0.001921   0
18      4398   0.002696   0
19      6976   0.004493   0
20      9583   0.006307   0
21     15456   0.010410   0
22     20982   0.014531   0
23     32816   0.023517   0
24     45417   0.032913   0
25     70109   0.051874   0
26     94499   0.070536   0
27    148234   0.113306   0
28    200768   0.156172   0
29    308213   0.241359   0
30    415543   0.329399   0
31    634270   0.506392   0
32    849877   0.685776   0
33   1311244   1.098809   1
34   1739022   1.527564   1
35   2630061   2.215884   2
36   3540355   2.964944   2
37   5344961   4.641407   4
38   7051789   6.181504   6
39  10747207   9.548661   9
40  14158720  12.708475  12
41  21295570  19.276702  19
42  28188520  26.178755  26
43  42283059  39.924854  39
44  55560183  52.739228  52
45  83902379  81.020769  81
46 109416660 107.000296 107
47 163758608 161.860563 161
48 215578633 216.245104 216
49 322546325 327.889610 327
50 417931547 429.215412 429
#- --------- ---------- ----
# even n: 5.998070e-07*n*1.390562^n
#   the expected time for n=100 is 144719.9 days
#  odd n: 6.039078e-07*n*1.392489^n
