#n  count        cpu wall
#- ------ ---------- ----
 1      1   0.000881   0
 2      1   0.000641   0
 3      3   0.000827   0
 4      3   0.000795   0
 5      7   0.001249   0
 6      8   0.001502   0
 7     18   0.002684   0
 8     19   0.004572   0
 9     47   0.005837   0
10     43   0.008098   0
11    102   0.013705   0
12    116   0.018004   0
13    238   0.030253   0
14    240   0.043560   0
15    553   0.078469   0
16    554   0.119161   0
17   1185   0.182251   0
18   1259   0.277665   0
19   2578   0.466328   0
20   2607   0.649085   1
21   5873   1.081991   1
22   5526   1.491593   1
23  11834   2.269261   2
24  12601   3.182776   3
25  24692   5.131481   5
26  24390   6.895433   7
27  53735  11.286770  11
28  52534  15.727322  16
29 107445  24.409063  24
30 107330  34.014502  34
31 218727  53.158168  53
32 215607  73.034931  73
33 461367 115.803023 116
34 427778 155.000647 155
35 891039 240.728191 241
#- ------ ---------- ----
