#n        count         cpu wall
#- ------------ ----------- ----
 0           1   0.000002   0
 1           2   0.000000   0
 2           3   0.000001   0
 3           6   0.000001   0
 4           9   0.000002   0
 5          16   0.000001   0
 6          24   0.000001   0
 7          42   0.000002   0
 8          61   0.000003   0
 9         108   0.000003   0
10         151   0.000004   0
11         253   0.000006   0
12         369   0.000009   0
13         607   0.000013   0
14         847   0.000018   0
15        1400   0.000029   0
16        1954   0.000042   0
17        3139   0.000063   0
18        4398   0.000090   0
19        6976   0.000133   0
20        9583   0.000174   0
21       15456   0.000261   0
22       20982   0.000385   0
23       32816   0.000659   0
24       45417   0.000816   0
25       70109   0.001208   0
26       94499   0.001689   0
27      148234   0.002535   0
28      200768   0.002828   0
29      308213   0.003578   0
30      415543   0.004925   0
31      634270   0.007378   0
32      849877   0.010232   0
33     1311244   0.015780   0
34     1739022   0.021361   0
35     2630061   0.031769   0
36     3540355   0.043806   0
37     5344961   0.065517   0
38     7051789   0.088622   0
39    10747207   0.132647   0
40    14158720   0.180192   0
41    21295570   0.268964   0
42    28188520   0.365813   0
43    42283059   0.538765   0
44    55560183   0.726056   0
45    83902379   1.088108   1
46   109416660   1.446840   1
47   163758608   2.143885   2
48   215578633   2.886203   2
49   322546325   4.297926   4
50   417931547   5.702019   5
51   630427082   8.505497   8
52   819313304  11.300710  11
53  1225749154  16.843008  16
54  1594365915  22.361650  22
55  2379621002  33.177155  33
56  3079772605  44.016674  44
57  4644363603  65.897560  65
58  5978202515  86.946999  86
59  8958100404 129.352997 129
60 11592193582 171.254181 171
#- ------------ ----------- ----
# even n: 2.078335e-07*1.408292^n
#   the expected time for n=100 is 1780.2 days
#  odd n: 2.135075e-07*1.409131^n
