#n        count         cpu wall
#- ------------ ----------- ----
 0            1    0.000008    0
 1            2    0.000006    0
 2            3    0.000006    0
 3            6    0.000006    0
 4            9    0.000006    0
 5           16    0.000008    0
 6           24    0.000008    0
 7           42    0.000012    0
 8           61    0.000014    0
 9          108    0.000020    0
10          151    0.000028    0
11          253    0.000040    0
12          369    0.000059    0
13          607    0.000093    0
14          847    0.000128    0
15         1400    0.000211    0
16         1954    0.000302    0
17         3139    0.000490    0
18         4398    0.000708    0
19         6976    0.001138    0
20         9583    0.001635    0
21        15456    0.002379    0
22        20982    0.003685    0
23        32816    0.005904    0
24        45417    0.008390    0
25        70109    0.013125    0
26        94499    0.016420    0
27       148234    0.024314    0
28       200768    0.018397    0
29       308213    0.025340    0
30       415543    0.031305    0
31       634270    0.044989    0
32       849877    0.066407    0
33      1311244    0.087256    0
34      1739022    0.114484    0
35      2630061    0.200129    0
36      3540355    0.249254    0
37      5344961    0.368343    0
38      7051789    0.542693    0
39     10747207    0.964111    0
40     14158720    1.295571    1
41     21295570    1.652628    1
42     28188520    2.109779    2
43     42283059    3.109191    3
44     55560183    4.188566    4
45     83902379    6.368869    6
46    109416660    8.294451    8
47    163758608   12.596148   12
48    215578633   16.627361   16
49    322546325   25.377283   25
50    417931547   32.922878   32
51    630427082   50.268497   50
52    819313304   66.335274   66
53   1225749154  100.719032  100
54   1594365915  132.460083  132
55   2379621002  201.538849  201
56   3079772605  262.833649  262
57    349396307  403.867767  403
58   1683235219  526.597717  526
59    368165812  806.552002  806
60   3002258990 1054.937378 1054
