#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000003    0
 2            3    0.000004    0
 3            6    0.000002    0
 4            9    0.000003    0
 5           16    0.000002    0
 6           24    0.000003    0
 7           42    0.000003    0
 8           61    0.000003    0
 9          108    0.000004    0
10          151    0.000006    0
11          253    0.000005    0
12          369    0.000007    0
13          607    0.000010    0
14          847    0.000013    0
15         1400    0.000020    0
16         1954    0.000028    0
17         3139    0.000043    0
18         4398    0.000056    0
19         6976    0.000083    0
20         9583    0.000117    0
21        15456    0.000179    0
22        20982    0.000251    0
23        32816    0.000383    0
24        45417    0.000537    0
25        70109    0.000818    0
26        94499    0.001130    0
27       148234    0.001753    0
28       200768    0.002426    0
29       308213    0.003705    0
30       415543    0.005123    0
31       634270    0.007736    0
32       849877    0.010470    0
33      1311244    0.015904    0
34      1739022    0.021795    0
35      2630061    0.032612    0
36      3540355    0.045114    0
37      5344961    0.067482    0
38      7051789    0.091701    0
39     10747207    0.138164    0
40     14158720    0.190313    0
41     21295570    0.280580    0
42     28188520    0.377549    0
43     42283059    0.564387    0
44     55560183    0.757403    0
45     83902379    1.145499    1
46    109416660    1.518599    1
47    163758608    2.274051    2
48    215578633    3.040717    3
49    322546325    4.579265    4
50    417931547    6.018287    6
51    630427082    9.117036    9
52    819313304   12.027225   12
53   1225749154   18.173458   18
54   1594365915   23.891726   23
55   2379621002   35.956224   35
56   3079772605   47.139934   47
57   4644363603   71.760016   71
58   5978202515   93.717164   93
59   8958100404  141.543638  141
60  11592193582  185.558426  185
61  17393090707  281.256179  281
62  22308026756  365.533217  365
63  33748401756  558.713743  558
64  43297822681  726.119593  726
65  65121346897 1105.304457 1105
66  83642904429 1436.806088 1437
67 126159860860 2198.067922 2198
68 161412021000 2842.647166 2872
69 245282674245 4379.386721 4380
70 312496982046 5648.181846 5649
#- ------------ ----------- ----
# even n: 1.081839e-08*n*1.383445^n
#   the expected time for n=100 is 1562.6 days
#  odd n: 1.084522e-08*n*1.385129^n
