#n        count         cpu wall
#- ------------ ----------- ----
 1           2   0.000003   0
 2           3   0.000003   0
 3           6   0.000003   0
 4           9   0.000003   0
 5          16   0.000004   0
 6          24   0.000004   0
 7          42   0.000005   0
 8          61   0.000005   0
 9         108   0.000006   0
10         151   0.000007   0
11         253   0.000007   0
12         369   0.000009   0
13         607   0.000013   0
14         847   0.000016   0
15        1400   0.000023   0
16        1954   0.000032   0
17        3139   0.000046   0
18        4398   0.000068   0
19        6976   0.000101   0
20        9583   0.000141   0
21       15456   0.000217   0
22       20982   0.000300   0
23       32816   0.000454   0
24       45417   0.000653   0
25       70109   0.000978   0
26       94499   0.001337   0
27      148234   0.002044   0
28      200768   0.002838   0
29      308213   0.004336   0
30      415543   0.006012   0
31      634270   0.009094   0
32      849877   0.012896   0
33     1311244   0.019506   0
34     1739022   0.026951   0
35     2630061   0.040181   0
36     3540355   0.055513   0
37     5344961   0.083118   0
38     7051789   0.112584   0
39    10747207   0.168166   0
40    14158720   0.227973   0
41    21295570   0.343459   0
42    28188520   0.461392   0
43    42283059   0.694273   0
44    55560183   0.918347   0
45    83902379   1.378693   1
46   109416660   1.838396   1
47   163758608   2.766285   2
48   215578633   3.729061   3
49   322546325   5.473238   5
50   417931547   7.303495   7
51   630427082  10.870369  10
52   819313304  14.469372  14
53  1225749154  21.610408  21
54  1594365915  28.677820  28
55  2379621002  42.750033  42
56  3079772605  57.014458  57
57  4644363603  85.569125  85
58  5978202515 114.646461 115
59  8958100404 172.126568 172
60 11592193582 224.133998 224
#- ------------ ----------- ----
# even n: 1.339482e-08*n*1.382826^n
#   the expected time for n=100 is 1850.0 days
#  odd n: 1.406826e-08*n*1.383082^n
