#n        count         cpu wall
#- ------------ ----------- ----
 1         2  0.000592 0
 2         3  0.000638 0
 3         6  0.000632 0
 4         9  0.000661 0
 5        16  0.000576 0
 6        24  0.000583 0
 7        42  0.000889 0
 8        61  0.001071 0
 9       108  0.001403 0
10       151  0.001390 0
11       253  0.001880 0
12       369  0.001833 0
13       607  0.002439 0
14       847  0.002770 0
15      1400  0.003032 0
16      1954  0.004054 0
17      3139  0.003369 0
18      4398  0.003827 0
19      6976  0.004022 0
20      9583  0.004629 0
21     15456  0.005413 0
22     20982  0.005778 0
23     32816  0.005664 0
24     45417  0.006245 0
25     70109  0.007744 0
26     94499  0.008097 0
27    148234  0.009586 0
28    200768  0.009327 0
29    308213  0.011987 0
30    415543  0.013482 0
31    634270  0.019393 0
32    849877  0.023580 0
33   1311244  0.032500 0
34   1739022  0.040223 0
35   2630061  0.055775 0
36   3540355  0.077044 0
37   5344961  0.111473 0
38   7051789  0.143181 0
39  10747207  0.214373 0
40  14158720  0.279985 0
41  21295570  0.478273 0
42  28188520  0.625967 0
43  42283059  1.008359 0
44  55560183  1.253261 0
45  83902379  2.043107 0
46 109416660  2.687827 0
47 163758608  4.027293 0
48 215578633  5.563887 0
49 322546325  8.218902 0
50 417931547 10.527377 1
#- ------------ ----------- ----
# even n: 8.595503e-09*n*1.406785^n
#   the expected time for n=100 is 6614.9 days
#  odd n: 1.493946e-08*n*1.392871^n
