#n        count         cpu wall
#- ------------ ----------- ----
 1            2     0.000313    0
 2            3     0.000459    0
 3            6     0.000473    0
 4            9     0.000338    0
 5           16     0.000309    0
 6           24     0.000255    0
 7           42     0.000907    0
 8           61     0.000876    0
 9          108     0.001273    0
10          151     0.001625    0
11          253     0.001864    0
12          369     0.001844    0
13          607     0.001974    0
14          847     0.002491    0
15         1400     0.002944    0
16         1954     0.003144    0
17         3139     0.003429    0
18         4398     0.003549    0
19         6976     0.003994    0
20         9583     0.004294    0
21        15456     0.004647    0
22        20982     0.004883    0
23        32816     0.005478    0
24        45417     0.006064    0
25        70109     0.006916    0
26        94499     0.007623    0
27       148234     0.008715    0
28       200768     0.009348    0
29       308213     0.012805    0
30       415543     0.014290    0
31       634270     0.017912    0
32       849877     0.022844    0
33      1311244     0.027827    0
34      1739022     0.043185    0
35      2630061     0.058535    0
36      3540355     0.084926    0
37      5344961     0.122775    0
38      7051789     0.165468    0
39     10747207     0.259811    0
40     14158720     0.356674    0
41     21295570     0.548279    0
42     28188520     0.733055    0
43     42283059     1.115366    0
44     55560183     1.496275    0
45     83902379     2.328716    0
46    109416660     3.116374    0
47    163758608     4.737077    0
48    215578633     6.441163    0
49    322546325     9.663120    1
50    417931547    12.610730    1
51    630427082    19.477412    2
52    819313304    25.309756    3
53   1225749154    38.845137    5
54   1594365915    50.674054    6
55   2379621002    76.467273   10
56   3079772605   100.456011   13
57   4644363603   152.123455   20
58   5978202515   203.771001   26
59   8958100404   311.500665   43
60  11592193582   409.362418   54
61  17393090707   623.984233   86
62  22308026756   824.753306  110
63  33748401756  1259.823099  175
64  43297822681  1653.364860  218
65  65121346897  2534.293681  352
66  83642904429  3315.756880  439
67 126159860860  5018.221588  700
68 161412021000  6551.636881  872
69 245282674245 10063.666272 1408
70 312496982046 13078.407920 1753
#- ------------ ----------- ----
# even n: 1.616349e-08*n*1.392476^n
#   the expected time for n=100 is 4474.9 days
#  odd n: 1.712819e-08*n*1.392869^n
