#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.001119 0
 2         3 0.001065 0
 3         6 0.001037 0
 4         9 0.001110 0
 5        16 0.001313 0
 6        24 0.001001 0
 7        42 0.001747 0
 8        61 0.001899 0
 9       108 0.002780 0
10       151 0.002729 0
11       253 0.003017 0
12       369 0.003191 0
13       607 0.003757 0
14       847 0.004023 0
15      1400 0.004453 0
16      1954 0.005053 0
17      3139 0.005263 0
18      4398 0.006874 0
19      6976 0.006801 0
20      9583 0.006513 0
21     15456 0.007493 0
22     20982 0.007772 0
23     32816 0.008242 0
24     45417 0.009004 0
25     70109 0.009638 0
26     94499 0.010021 0
27    148234 0.011332 0
28    200768 0.012427 0
29    308213 0.013775 0
30    415543 0.016485 0
31    634270 0.020102 0
32    849877 0.022835 0
33   1311244 0.029847 0
34   1739022 0.037789 0
35   2630061 0.051362 0
36   3540355 0.061395 0
37   5344961 0.092548 0
38   7051789 0.122558 0
39  10747207 0.180420 0
40  14158720 0.228391 0
41  21295570 0.337323 0
42  28188520 0.473361 0
43  42283059 0.685527 0
44  55560183 0.903785 0
45  83902379 1.375628 0
46 109416660 1.832149 0
47 163758608 2.864647 0
48 215578633 3.745861 0
49 322546325 5.746316 1
50 417931547 7.551739 1
#- ------------ ----------- ----
# even n: 1.223733e-08*n*1.385889^n
#   the expected time for n=100 is 2108.6 days
#  odd n: 9.734757e-09*n*1.394807^n
