#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000003 0
 2         3 0.000003 0
 3         6 0.000003 0
 4         9 0.000004 0
 5        16 0.000003 0
 6        24 0.000003 0
 7        42 0.000003 0
 8        61 0.000003 0
 9       108 0.000004 0
10       151 0.000004 0
11       253 0.000004 0
12       369 0.000005 0
13       607 0.000005 0
14       847 0.000006 0
15      1400 0.000009 0
16      1954 0.000009 0
17      3139 0.000027 0
18      4398 0.000016 0
19      6976 0.000046 0
20      9583 0.000058 0
21     15456 0.000066 0
22     20982 0.000074 0
23     32816 0.000099 0
24     45417 0.000117 0
25     70109 0.000213 0
26     94499 0.000237 0
27    148234 0.000396 0
28    200768 0.000518 0
29    308213 0.000761 0
30    415543 0.000970 0
31    634270 0.001467 0
32    849877 0.001986 0
33   1311244 0.003251 0
34   1739022 0.004203 0
35   2630061 0.006163 0
36   3540355 0.008069 0
37   5344961 0.012146 0
38   7051789 0.015905 0
39  10747207 0.024139 0
40  14158720 0.031567 0
41  21295570 0.047533 0
42  28188520 0.063383 0
43  42283059 0.094778 0
44  55560183 0.122944 0
45  83902379 0.186834 0
46 109416660 0.242331 0
47 163758608 0.362976 0
48 215578633 0.488575 0
49 322546325 0.710213 0
50 417931547 0.924167 0
#- ------------ ----------- ----
# even n: 4.212260e-08*1.402729^n
#   the expected time for n=100 is 242.9 days
#  odd n: 4.681461e-08*1.401515^n
