#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000002 0
 2         3 0.000004 0
 3         6 0.000003 0
 4         9 0.000003 0
 5        16 0.000003 0
 6        24 0.000003 0
 7        42 0.000003 0
 8        61 0.000003 0
 9       108 0.000003 0
10       151 0.000003 0
11       253 0.000007 0
12       369 0.000004 0
13       607 0.000005 0
14       847 0.000009 0
15      1400 0.000007 0
16      1954 0.000009 0
17      3139 0.000011 0
18      4398 0.000015 0
19      6976 0.000022 0
20      9583 0.000026 0
21     15456 0.000042 0
22     20982 0.000054 0
23     32816 0.000080 0
24     45417 0.000106 0
25     70109 0.000162 0
26     94499 0.000213 0
27    148234 0.000338 0
28    200768 0.000446 0
29    308213 0.000678 0
30    415543 0.000914 0
31    634270 0.001381 0
32    849877 0.001810 0
33   1311244 0.002834 0
34   1739022 0.003665 0
35   2630061 0.005556 0
36   3540355 0.007438 0
37   5344961 0.011310 0
38   7051789 0.014838 0
39  10747207 0.022436 0
40  14158720 0.030135 0
41  21295570 0.045279 0
42  28188520 0.058398 0
43  42283059 0.089583 0
44  55560183 0.115667 0
45  83902379 0.183957 0
46 109416660 0.228679 0
47 163758608 0.335052 0
48 215578633 0.443362 0
49 322546325 0.659548 0
50 417931547 0.858228 0
#- ------------ ----------- ----
# even n: 4.411944e-08*1.399116^n
#   the expected time for n=100 is 196.6 days
#  odd n: 5.240485e-08*1.396302^n
