#n        count         cpu wall
#- ------------ ----------- ----
 1            2   0.000002   0
 2            3   0.000003   0
 3            6   0.000002   0
 4            9   0.000002   0
 5           16   0.000002   0
 6           24   0.000003   0
 7           42   0.000002   0
 8           61   0.000002   0
 9          108   0.000003   0
10          151   0.000003   0
11          253   0.000003   0
12          369   0.000003   0
13          607   0.000005   0
14          847   0.000006   0
15         1400   0.000009   0
16         1954   0.000011   0
17         3139   0.000016   0
18         4398   0.000019   0
19         6976   0.000028   0
20         9583   0.000036   0
21        15456   0.000056   0
22        20982   0.000075   0
23        32816   0.000115   0
24        45417   0.000153   0
25        70109   0.000233   0
26        94499   0.000308   0
27       148234   0.000477   0
28       200768   0.000639   0
29       308213   0.000964   0
30       415543   0.001295   0
31       634270   0.001946   0
32       849877   0.002610   0
33      1311244   0.003974   0
34      1739022   0.005227   0
35      2630061   0.007850   0
36      3540355   0.010521   0
37      5344961   0.015830   0
38      7051789   0.020787   0
39     10747207   0.031533   0
40     14158720   0.041317   0
41     21295570   0.061949   0
42     28188520   0.081629   0
43     42283059   0.122237   0
44     55560183   0.159996   0
45     83902379   0.240849   0
46    109416660   0.313312   0
47    163758608   0.467920   0
48    215578633   0.615007   0
49    322546325   0.923138   0
50    417931547   1.188722   1
51    630427082   1.790702   1
52    819313304   2.322539   2
53   1225749154   3.467880   3
54   1594365915   4.511618   4
55   2379621002   6.728400   6
56   3079772605   8.690219   8
57   4644363603  13.081260  13
58   5978202515  16.830829  16
59   8958100404  25.194651  25
60  11592193582  32.582836  32
61  17393090707  48.789730  48
62  22308026756  62.590202  62
63  33748401756  94.568768  94
64  43297822681 121.295515 121
65  65121346897 182.222723 182
66  83642904429 234.887521 234
67 126159860860 352.620170 352
68 161412021000 452.609087 452
69 245282674245 685.965439 686
70 312496982046 880.460320 880
#- ------------ ----------- ----
# even n: 7.420672e-08*1.393139^n
#   the expected time for n=100 is 215.5 days
#  odd n: 7.836590e-08*1.393669^n
