#n     count        cpu wall
#- --------- ---------- ----
 1         2   0.000001   0
 2         3   0.000001   0
 3         6   0.000001   0
 4         9   0.000002   0
 5        16   0.000003   0
 6        24   0.000005   0
 7        42   0.000010   0
 8        61   0.000014   0
 9       108   0.000028   0
10       151   0.000035   0
11       253   0.000066   0
12       369   0.000074   0
13       607   0.000130   0
14       847   0.000193   0
15      1400   0.000301   0
16      1954   0.000440   0
17      3139   0.000720   0
18      4398   0.001277   0
19      6976   0.001836   0
20      9583   0.002357   0
21     15456   0.003842   0
22     20982   0.005554   0
23     32816   0.009116   0
24     45417   0.012866   0
25     70109   0.020075   0
26     94499   0.027767   0
27    148234   0.042384   0
28    200768   0.057550   0
29    308213   0.092340   0
30    415543   0.130042   0
31    634270   0.202371   0
32    849877   0.272702   0
33   1311244   0.433578   0
34   1739022   0.590490   0
35   2630061   0.964346   0
36   3540355   1.258711   1
37   5344961   1.956305   1
38   7051789   2.502998   2
39  10747207   3.933288   3
40  14158720   5.251404   5
41  21295570   8.096895   8
42  28188520  10.820928  10
43  42283059  16.943272  16
44  55560183  22.935239  22
45  83902379  36.316863  36
46 109416660  48.576136  48
47 163758608  73.567900  73
48 215578633  95.290601  95
49 322546325 146.593927 146
50 417931547 194.309021 194
#- --------- ---------- ----
# even n: 1.671050e-07*n*1.404362^n
#   the expected time for n=100 is 108238.0 days
#  odd n: 1.714240e-07*n*1.406020^n
