#n       count        cpu wall
#-   --------- ---------- ----
 1           2   0.000000   0
 2           3   0.000000   0
 3           6   0.000000   0
 4           9   0.000000   0
 5          16   0.000000   0
 6          24   0.000000   0
 7          42   0.000001   0
 8          61   0.000001   0
 9         108   0.000001   0
10         151   0.000002   0
11         253   0.000004   0
12         369   0.000006   0
13         607   0.000010   0
14         847   0.000013   0
15        1400   0.000032   0
16        1954   0.000029   0
17        3139   0.000044   0
18        4398   0.000064   0
19        6976   0.000104   0
20        9583   0.000146   0
21       15456   0.000318   0
22       20982   0.000415   0
23       32816   0.000543   0
24       45417   0.000855   0
25       70109   0.001211   0
26       94499   0.001666   0
27      148234   0.002686   0
28      200768   0.003937   0
29      308213   0.005888   0
30      415543   0.008754   0
31      634270   0.012797   0
32      849877   0.018566   0
33     1311244   0.031239   0
34     1739022   0.041781   0
35     2630061   0.062406   0
36     3540355   0.079384   0
37     5344961   0.130348   0
38     7051789   0.174219   0
39    10747207   0.274843   0
40    14158720   0.345389   0
41    21295570   0.574494   0
42    28188520   0.707483   0
43    42283059   1.085659   1
44    55560183   1.445559   1
45    83902379   2.208108   2
46   109416660   2.955002   2
47   163758608   4.522140   4
48   215578633   6.343141   6
49   322546325   9.286506   9
50   417931547  12.212609  12
51   630427082  18.696171  18
52   819313304  24.579039  24
53  1225749154  37.752801  37
54  1594365915  49.602594  49
55  2379621002  75.718054  75
56  3079772605 100.521669 100
57  4644363603 152.877517 152
58  5978202515 199.281422 199
59  8958100404 305.822364 305
60 11592193582 400.503732 400
#-   --------- ---------- ----
# even n: 1.475542e-08*n*1.394264^n
#   the expected time for n=100 is 4644.5 days
#  odd n: 1.711199e-08*n*1.392299^n
