#n       count        cpu wall
#-   --------- ---------- ----
 1           2   0.000000   0
 2           3   0.000000   0
 3           6   0.000000   0
 4           9   0.000000   0
 5          16   0.000000   0
 6          24   0.000000   0
 7          42   0.000001   0
 8          61   0.000001   0
 9         108   0.000002   0
10         151   0.000002   0
11         253   0.000004   0
12         369   0.000006   0
13         607   0.000009   0
14         847   0.000013   0
15        1400   0.000022   0
16        1954   0.000038   0
17        3139   0.000049   0
18        4398   0.000064   0
19        6976   0.000102   0
20        9583   0.000144   0
21       15456   0.000232   0
22       20982   0.000318   0
23       32816   0.000496   0
24       45417   0.000700   0
25       70109   0.001133   0
26       94499   0.001666   0
27      148234   0.002420   0
28      200768   0.003504   0
29      308213   0.005013   0
30      415543   0.006961   0
31      634270   0.010608   0
32      849877   0.014557   0
33     1311244   0.035024   0
34     1739022   0.046181   0
35     2630061   0.070650   0
36     3540355   0.063520   0
37     5344961   0.148723   0
38     7051789   0.195158   0
39    10747207   0.301244   0
40    14158720   0.270964   0
41    21295570   0.615686   0
42    28188520   0.809622   0
43    42283059   1.229483   1
44    55560183   1.103815   1
45    83902379   2.511284   2
46   109416660   3.235278   3
47   163758608   4.924324   4
48   215578633   4.487332   4
49   322546325   8.010527   8
50   417931547   8.901234   8
51   630427082  14.509017  14
52   819313304  17.739706  17
53  1225749154  26.895462  26
54  1594365915  35.636843  35
55  2379621002  53.732240  53
56  3079772605  70.249617  70
57  4644363603 107.137366 107
58  5978202515 139.787012 139
59  8958100404 211.754298 211
60 11592193582 277.989078 277
#-   --------- ---------- ----
# even n: 2.655061e-08*n*1.371270^n
#   the expected time for n=100 is 1584.4 days
#  odd n: 7.910452e-08*n*1.346540^n
