#n       count        cpu wall
#-   --------- ---------- ----
 1           2   0.000000   0
 2           3   0.000000   0
 3           6   0.000000   0
 4           9   0.000000   0
 5          16   0.000000   0
 6          24   0.000001   0
 7          42   0.000001   0
 8          61   0.000004   0
 9         108   0.000007   0
10         151   0.000003   0
11         253   0.000010   0
12         369   0.000010   0
13         607   0.000014   0
14         847   0.000019   0
15        1400   0.000029   0
16        1954   0.000039   0
17        3139   0.000058   0
18        4398   0.000086   0
19        6976   0.000131   0
20        9583   0.000191   0
21       15456   0.000291   0
22       20982   0.000399   0
23       32816   0.000619   0
24       45417   0.000871   0
25       70109   0.001340   0
26       94499   0.001853   0
27      148234   0.002898   0
28      200768   0.004009   0
29      308213   0.006210   0
30      415543   0.008522   0
31      634270   0.013026   0
32      849877   0.017879   0
33     1311244   0.028086   0
34     1739022   0.038317   0
35     2630061   0.057769   0
36     3540355   0.076640   0
37     5344961   0.118915   0
38     7051789   0.161908   0
39    10747207   0.249372   0
40    14158720   0.330564   0
41    21295570   0.521766   0
42    28188520   0.670014   0
43    42283059   1.006348   1
44    55560183   1.340107   1
45    83902379   2.156691   2
46   109416660   2.764907   2
47   163758608   4.172371   4
48   215578633   5.407314   5
49   322546325   8.365791   8
50   417931547  10.646229  10
51   630427082  16.239423  16
52   819313304  21.432605  21
53  1225749154  33.456358  33
54  1594365915  43.977318  43
55  2379621002  66.753342  66
56  3079772605  87.519228  87
57  4644363603 134.147628 134
58  5978202515 173.794005 173
59  8958100404 264.841242 264
60 11592193582 344.378175 344
#-   --------- ---------- ----
# even n: 1.710546e-08*n*1.387066^n
#   the expected time for n=100 is 3208.8 days
#  odd n: 1.929857e-08*n*1.386060^n
