#n       count        cpu wall
#-   --------- ---------- ----
 0           1   0.000001   0
 1           2   0.000002   0
 2           3   0.000001   0
 3           6   0.000002   0
 4           9   0.000003   0
 5          16   0.000004   0
 6          24   0.000006   0
 7          42   0.000010   0
 8          61   0.000016   0
 9         108   0.000032   0
10         151   0.000043   0
11         253   0.000013   0
12         369   0.000014   0
13         607   0.000021   0
14         847   0.000033   0
15        1400   0.000050   0
16        1954   0.000073   0
17        3139   0.000114   0
18        4398   0.000170   0
19        6976   0.000270   0
20        9583   0.000384   0
21       15456   0.000825   0
22       20982   0.000894   0
23       32816   0.001354   0
24       45417   0.001938   0
25       70109   0.001893   0
26       94499   0.001726   0
27      148234   0.002596   0
28      200768   0.003856   0
29      308213   0.005605   0
30      415543   0.007752   0
31      634270   0.011564   0
32      849877   0.015554   0
33     1311244   0.024276   0
34     1739022   0.033241   0
35     2630061   0.051932   0
36     3540355   0.069070   0
37     5344961   0.103422   0
38     7051789   0.140902   0
39    10747207   0.215823   0
40    14158720   0.287699   0
41    21295570   0.470097   0
42    28188520   0.590422   0
43    42283059   0.874306   0
44    55560183   1.184614   1
45    83902379   1.780955   1
46   109416660   2.370585   2
47   163758608   3.620129   3
48   215578633   4.829897   4
49   322546325   7.051034   7
50   417931547   9.462369   9
51   630427082  14.136328  14
52   819313304  18.730238  18
53  1225749154  27.758546  27
54  1594365915  36.923680  36
55  2379621002  55.264644  55
56  3079772605  73.683932  73
57  4644363603 108.290629 108
58  5978202515 146.426264 146
59  8958100404 212.657731 212
60 11592193582 280.267883 280
#-   --------- ---------- ----
# even n: 1.738814e-08*n*1.382502^n
#   the expected time for n=100 is 2346.0 days
#  odd n: 2.087989e-08*n*1.379189^n
