#n       count        cpu wall
#-   --------- ---------- ----
 1           2   0.000000   0
 2           3   0.000000   0
 3           6   0.000000   0
 4           9   0.000000   0
 5          16   0.000000   0
 6          24   0.000000   0
 7          42   0.000000   0
 8          61   0.000000   0
 9         108   0.000000   0
10         151   0.000000   0
11         253   0.000000   0
12         369   0.000000   0
13         607   0.000000   0
14         847   0.000000   0
15        1400   0.000000   0
16        1954   0.000000   0
17        3139   0.001000   0
18        4398   0.000000   0
19        6976   0.000000   0
20        9583   0.001000   0
21       15456   0.000000   0
22       20982   0.001000   0
23       32816   0.001000   0
24       45417   0.002000   0
25       70109   0.002000   0
26       94499   0.003000   0
27      148234   0.005000   0
28      200768   0.007000   0
29      308213   0.011000   0
30      415543   0.015000   0
31      634270   0.023000   0
32      849877   0.031000   0
33     1311244   0.048000   0
34     1739022   0.066000   0
35     2630061   0.102000   0
36     3540355   0.142000   0
37     5344961   0.209000   0
38     7051789   0.286000   0
39    10747207   0.461000   0
40    14158720   0.609000   0
41    21295570   0.884000   0
42    28188520   1.185000   1
43    42283059   1.859000   1
44    55560183   2.605000   2
45    83902379   3.929000   3
46   109416660   5.014000   5
47   163758608   7.767000   7
48   215578633  10.638000  10
49   322546325  14.736000  14
50   417931547  21.259000  21
51   630427082  29.688000  29
52   819313304  40.864000  40
53  1225749154  59.362000  59
54  1594365915  84.625000  84
55  2379621002 120.394000 120
56  3079772605 157.925000 157
57  4644363603 237.049000 237
58  5978202515 317.214000 317
59  8958100404 471.500000 471
60 11592193582 616.224000 616
#-   --------- ---------- ----
# even n: 3.313246e-08*n*1.386085^n
#   the expected time for n=100 is 5790.6 days
#  odd n: 3.472353e-08*n*1.385969^n
