#n     count        cpu wall
#- --------- ---------- ----
 1         2   0.000002   0
 2         3   0.000002   0
 3         6   0.000002   0
 4         9   0.000003   0
 5        16   0.000006   0
 6        24   0.000008   0
 7        42   0.000015   0
 8        61   0.000023   0
 9       108   0.000042   0
10       151   0.000078   0
11       253   0.000109   0
12       369   0.000179   0
13       607   0.000277   0
14       847   0.000409   0
15      1400   0.000695   0
16      1954   0.001037   0
17      3139   0.001671   0
18      4398   0.002402   0
19      6976   0.004029   0
20      9583   0.005623   0
21     15456   0.009422   0
22     20982   0.013152   0
23     32816   0.020766   0
24     45417   0.029455   0
25     70109   0.046826   0
26     94499   0.062954   0
27    148234   0.102293   0
28    200768   0.141901   0
29    308213   0.220461   0
30    415543   0.300411   0
31    634270   0.469493   0
32    849877   0.673804   0
33   1311244   1.069567   1
34   1739022   1.376498   1
35   2630061   2.180614   2
36   3540355   2.971080   2
37   5344961   4.495059   4
38   7051789   6.061629   6
39  10747207   9.129374   9
40  14158720  12.193583  12
41  21295570  18.766866  18
42  28188520  25.379921  25
43  42283059  38.267651  38
44  55560183  51.011819  51
45  83902379  79.502728  79
46 109416660 105.648506 105
47 163758608 158.755993 158
48 215578633 211.057291 211
49 322546325 329.760125 329
50 417931547 432.058261 432
#- --------- ---------- ----
# even n: 4.896073e-07*n*1.396145^n
#   the expected time for n=100 is 176360.3 days
#  odd n: 4.854296e-07*n*1.398630^n
