#n     count        cpu wall
#- --------- ---------- ----
 1         2   0.000006   0
 2         3   0.000006   0
 3         6   0.000005   0
 4         9   0.000007   0
 5        16   0.000012   0
 6        24   0.000019   0
 7        42   0.000036   0
 8        61   0.000053   0
 9       108   0.000107   0
10       151   0.000145   0
11       253   0.000238   0
12       369   0.000313   0
13       607   0.000539   0
14       847   0.000787   0
15      1400   0.001314   0
16      1954   0.001386   0
17      3139   0.002075   0
18      4398   0.002531   0
19      6976   0.004100   0
20      9583   0.005731   0
21     15456   0.009505   0
22     20982   0.013188   0
23     32816   0.021068   0
24     45417   0.029874   0
25     70109   0.047028   0
26     94499   0.064517   0
27    148234   0.102596   0
28    200768   0.142599   0
29    308213   0.223883   0
30    415543   0.308236   0
31    634270   0.479139   0
32    849877   0.648693   0
33   1311244   1.042752   1
34   1739022   1.396026   1
35   2630061   2.147821   2
36   3540355   2.936818   2
37   5344961   4.491083   4
38   7051789   6.023679   6
39  10747207   9.331121   9
40  14158720  12.526217  12
41  21295570  19.121153  19
42  28188520  25.550832  25
43  42283059  39.290601  39
44  55560183  52.062446  52
45  83902379  80.140026  80
46 109416660 105.825809 105
47 163758608 160.764959 160
48 215578633 215.438111 215
49 322546325 328.006469 328
50 417931547 429.291046 429
#- --------- ---------- ----
# even n: 5.433485e-07*n*1.393278^n
#   the expected time for n=100 is 159348.3 days
#  odd n: 5.647107e-07*n*1.394310^n
