#n     count        cpu wall
#- --------- ---------- ----
 1         2    0.000003    0
 2         3    0.000003    0
 3         6    0.000005    0
 4         9    0.000008    0
 5        16    0.000015    0
 6        24    0.000023    0
 7        42    0.000044    0
 8        61    0.000067    0
 9       108    0.000124    0
10       151    0.000181    0
11       253    0.000320    0
12       369    0.000475    0
13       607    0.000687    0
14       847    0.000986    0
15      1400    0.001688    0
16      1954    0.002428    0
17      3139    0.004018    0
18      4398    0.005782    0
19      6976    0.009441    0
20      9583    0.013138    0
21     15456    0.021514    0
22     20982    0.029749    0
23     32816    0.047683    0
24     45417    0.067383    0
25     70109    0.106614    0
26     94499    0.144793    0
27    148234    0.234447    0
28    200768    0.325686    0
29    308213    0.505727    0
30    415543    0.696201    0
31    634270    1.123397    1
32    849877    1.558860    1
33   1311244    2.350715    2
34   1739022    3.242898    3
35   2630061    5.033686    5
36   3540355    6.957489    6
37   5344961   10.691618   10
38   7051789   14.142175   14
39  10747207   22.055927   22
40  14158720   29.420561   29
41  21295570   45.005236   45
42  28188520   60.133274   60
43  42283059   91.339527   91
44  55560183  122.562587  122
45  83902379  187.576277  187
46 109416660  245.875449  245
47 163758608  377.584279  377
48 215578633  500.782093  500
49 322546325  756.415656  756
50 417931547 1002.787263 1002
#- --------- ---------- ----
# even n: 1.336522e-06*n*1.391733^n
#   the expected time for n=100 is 350799.0 days
#  odd n: 1.412396e-06*n*1.392178^n
