#n       count        cpu wall
#-   --------- ---------- ----
 1           2   0.000001   0
 2           3   0.000001   0
 3           6   0.000001   0
 4           9   0.000001   0
 5          16   0.000001   0
 6          24   0.000001   0
 7          42   0.000002   0
 8          61   0.000002   0
 9         108   0.000003   0
10         151   0.000004   0
11         253   0.000005   0
12         369   0.000007   0
13         607   0.000010   0
14         847   0.000014   0
15        1400   0.000021   0
16        1954   0.000030   0
17        3139   0.000046   0
18        4398   0.000063   0
19        6976   0.000101   0
20        9583   0.000145   0
21       15456   0.000229   0
22       20982   0.000302   0
23       32816   0.000487   0
24       45417   0.000687   0
25       70109   0.001050   0
26       94499   0.001425   0
27      148234   0.002194   0
28      200768   0.003019   0
29      308213   0.004667   0
30      415543   0.006427   0
31      634270   0.009900   0
32      849877   0.013595   0
33     1311244   0.021100   0
34     1739022   0.028352   0
35     2630061   0.043433   0
36     3540355   0.059483   0
37     5344961   0.090861   0
38     7051789   0.121941   0
39    10747207   0.188350   0
40    14158720   0.252044   0
41    21295570   0.385581   0
42    28188520   0.615943   0
43    42283059   0.791827   0
44    55560183   1.348230   1
45    83902379   1.801684   1
46   109416660   2.137046   2
47   163758608   3.369176   3
48   215578633   4.349743   4
49   322546325   7.065658   7
50   417931547   8.829535   8
51   630427082  14.141294  14
52   819313304  17.883939  17
53  1225749154  27.972333  27
54  1594365915  37.125413  37
55  2379621002  55.431482  55
56  3079772605  73.643102  73
57  4644363603 112.957124 112
58  5978202515 147.123910 147
59  8958100404 227.596043 227
60 11592193582 290.575842 290
#-   --------- ---------- ----
# even n: 1.491724e-08*n*1.386145^n
#   the expected time for n=100 is 2618.4 days
#  odd n: 1.186131e-08*n*1.394223^n
