#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   1.265   0.515   0.905   0.800   0.541   0.762
  17   0.891   0.477   0.910   0.771   0.481   0.756
  18   0.891   0.421   0.891   0.760   0.465   0.742
  19   0.914   0.420   0.872   0.750   0.435   0.745
  20   1.214   0.431   0.889   0.743   0.467   0.734
  21   1.284   0.395   0.914   0.738   0.427   0.722
  22   0.985   0.362   1.675   1.315   0.689   1.268
  23   1.747   0.660   1.772   1.288   0.740   1.256
  24   1.752   0.672   1.766   1.282   0.728   1.254
  25   1.772   0.648   1.804   1.275   0.701   1.253
  26   1.792   0.567   1.865   1.269   0.632   1.247
  27   1.988   0.604   1.999   1.263   0.653   1.251
  28   1.356   0.430   1.407   0.891   0.463   0.880
  29   1.425   0.419   1.460   0.757   0.357   0.699
  30   1.265   0.287   1.203   0.708   0.319   0.697
  31   1.279   0.314   1.224   0.706   0.339   0.695
  32   1.288   0.318   1.471   0.704   0.345   0.848
  33   1.221   0.312   1.223   0.702   0.330   0.693
  34   1.339   0.274   1.228   0.858   0.304   0.692
  35   1.253   0.302   1.258   0.850   0.324   0.883
  36   1.254   0.348   1.255   0.844   0.318   0.693
  37   1.250   0.297   1.255   0.707   0.319   0.688
  38   1.251   0.264   1.236   0.699   0.290   0.691
  39   1.310   0.283   1.251   0.767   0.305   0.686
  40   1.248   0.284   1.248   0.823   0.305   0.828
  41   1.366   0.328   1.249   0.824   0.305   0.685
  42   1.244   0.256   1.247   0.823   0.280   0.820
  43   1.311   0.274   1.265   1.247   0.294   0.685
  44   1.241   0.272   1.242   0.814   0.290   0.807
  45   1.237   0.274   1.241   0.809   0.288   0.683
  46   1.207   0.249   1.241   0.808   0.272   0.682
  47   1.202   0.269   1.238   0.804   0.288   0.682
  48   1.202   0.263   1.385   0.803   0.279   0.714
  49   1.450   0.267   1.235   0.798   0.282   0.683
  50   1.234   0.261   1.234   0.796   0.261   0.680
  51   1.216   0.255   1.236   0.794   0.275   0.681
  52   1.199   0.257   1.232   0.790   0.270   0.682
  53   1.356   0.402   1.484   0.787   0.276   0.791
  54   1.229   0.236   1.231   0.787   0.258   0.790
  55   1.264   0.254   1.228   0.784   0.270   0.787
  56   1.262   0.253   1.276   0.783   0.263   0.786
  57   1.338   0.254   1.228   1.043   0.343   1.064
  58   1.253   0.234   1.227   0.778   0.254   0.740
  59   1.253   0.318   1.225   0.776   0.266   0.945
  60   1.258   0.243   1.226   0.774   0.260   0.691
  61   1.223   0.255   1.223   0.771   0.276   0.679
  62   1.283   0.232   1.224   0.771   0.256   0.680
  63   1.222   0.249   1.231   0.769   0.277   0.679
  64   1.330   0.242   1.693   1.124   0.342   1.162
  65   1.224   0.261   1.222   0.765   0.283   0.768
  66   1.223   0.245   1.224   0.765   0.267   0.767
  67   1.222   0.276   1.220   0.763   0.288   0.791
  68   1.244   0.252   1.224   0.762   0.279   0.782
  69   1.222   0.286   1.219   0.759   0.294   0.739
  70   1.223   0.256   1.223   0.759   0.284   0.761
  71   1.248   0.278   1.223   0.757   0.298   0.759
  72   1.255   0.249   1.305   0.758   0.278   0.858
  73   1.285   0.279   1.227   1.080   0.288   1.063
  74   1.239   0.253   1.227   0.754   0.283   0.757
  75   1.227   0.357   1.229   0.753   0.290   0.754
  76   1.235   0.245   1.231   0.798   0.277   0.770
  77   1.233   0.280   1.232   0.751   0.291   0.752
  78   1.246   0.251   1.244   0.750   0.286   0.751
  79   1.321   0.283   1.244   0.749   0.291   0.750
  80   1.272   0.241   1.455   0.754   0.278   0.892
  81   1.254   0.281   1.250   0.747   0.291   0.748
  82   1.257   0.249   1.271   0.747   0.283   0.748
  83   1.289   0.269   1.260   0.764   0.288   0.746
  84   1.278   0.238   1.269   0.744   0.278   0.779
  85   1.308   0.269   1.273   0.769   0.287   0.755
  86   1.263   0.248   1.274   0.743   0.282   0.747
  87   1.267   0.268   1.280   0.743   0.289   0.742
  88   1.282   0.236   1.373   0.745   0.278   0.881
  89   1.302   0.295   1.286   0.740   0.287   0.743
  90   1.339   0.254   1.330   0.766   0.282   0.741
