#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   0.610   0.671   0.610   0.366   0.427   0.244
  17   0.407   0.611   0.305   0.254   0.458   0.153
  18   0.429   0.600   0.429   0.257   0.343   0.171
  19   0.401   0.510   0.437   0.292   0.437   0.146
  20   0.375   0.469   0.375   0.281   0.375   0.187
  21   0.405   0.486   0.378   0.297   0.378   0.162
  22   0.399   0.470   0.376   0.258   0.376   0.188
  23   0.390   0.493   0.370   0.247   0.370   0.164
  24   0.380   0.488   0.398   0.199   0.362   0.127
  25   0.384   0.480   0.384   0.192   0.368   0.128
  26   0.398   0.441   0.398   0.228   0.370   0.142
  27   0.419   0.483   0.406   0.203   0.356   0.152
  28   0.421   0.376   0.410   0.182   0.364   0.159
  29   0.482   0.379   0.410   0.195   0.369   0.164
  30   0.500   0.398   0.435   0.194   0.361   0.148
  31   0.462   0.361   0.436   0.201   0.352   0.151
  32   0.481   0.755   0.427   0.153   0.336   0.122
  33   0.473   0.348   0.445   0.160   0.320   0.132
  34   0.477   0.356   0.433   0.159   0.324   0.127
  35   0.472   0.356   0.431   0.146   0.315   0.146
  36   0.482   0.348   0.434   0.139   0.322   0.134
  37   0.474   0.355   0.429   0.158   0.296   0.138
  38   0.483   0.346   0.437   0.155   0.323   0.137
  39   0.506   0.354   0.447   0.169   0.320   0.139
  40   0.500   0.352   0.453   0.133   0.312   0.117
  41   0.490   0.312   0.461   0.145   0.319   0.134
  42   0.486   0.310   0.459   0.128   0.310   0.121
  43   0.481   0.318   0.462   0.141   0.311   0.126
  44   0.481   0.308   0.464   0.129   0.308   0.129
  45   0.499   0.310   0.497   0.140   0.307   0.129
  46   0.480   0.316   0.470   0.131   0.311   0.131
  47   0.472   0.318   0.472   0.154   0.308   0.144
  48   0.509   0.328   0.475   0.118   0.312   0.111
  49   0.476   0.310   0.476   0.144   0.306   0.144
  50   0.478   0.312   0.476   0.118   0.306   0.120
  51   0.481   0.309   0.479   0.136   0.309   0.128
  52   0.480   0.306   0.478   0.124   0.306   0.123
  53   0.484   0.307   0.482   0.136   0.304   0.124
  54   0.484   0.305   0.484   0.124   0.305   0.124
  55   0.485   0.307   0.487   0.144   0.305   0.138
  56   0.514   0.303   0.488   0.112   0.303   0.112
  57   0.490   0.302   0.490   0.140   0.305   0.140
  58   0.514   0.302   0.488   0.118   0.304   0.118
