#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   1.154   0.848   0.793   0.830   0.812   0.818
  17   1.079   0.850   1.064   0.814   0.814   0.809
  18   1.136   0.823   0.832   0.823   0.806   0.810
  19   1.104   0.816   0.769   0.857   0.787   0.802
  20   1.075   0.813   0.838   0.800   0.800   0.800
  21   1.045   0.804   0.810   0.799   0.802   0.799
  22   1.087   0.899   0.749   0.803   0.796   0.791
  23   1.046   0.799   0.748   0.797   0.797   0.797
  24   1.063   0.808   0.743   0.801   0.807   0.821
  25   1.008   0.803   0.741   0.797   0.798   0.800
  26   0.991   0.804   0.738   0.797   0.825   0.795
  27   1.020   0.803   0.734   0.798   0.793   0.791
  28   1.009   0.814   0.733   0.806   0.797   0.802
  29   0.972   0.805   0.730   0.800   0.796   0.801
  30   1.004   0.805   0.729   0.823   0.799   0.797
  31   0.990   0.809   0.732   0.806   0.795   0.792
  32   0.986   0.804   0.729   0.806   0.797   0.797
  33   0.979   0.803   0.729   0.802   0.801   0.803
  34   0.943   0.805   0.728   0.807   0.808   0.796
  35   0.946   0.805   0.727   0.805   0.798   0.799
  36   0.943   0.804   0.727   0.804   0.796   0.796
  37   0.946   0.809   0.730   0.810   0.806   0.805
  38   0.935   0.811   0.725   0.805   0.804   0.804
  39   0.911   0.803   0.725   0.808   0.806   0.805
  40   0.920   0.804   0.724   0.805   0.801   0.801
  41   0.915   0.805   0.723   0.804   0.801   0.825
  42   0.916   0.805   0.722   0.814   0.805   0.805
  43   0.898   0.804   0.723   0.806   0.802   0.801
  44   0.906   0.807   0.726   0.820   0.801   0.800
  45   0.912   0.813   0.726   0.811   0.806   0.806
  46   0.925   0.810   0.726   0.810   0.808   0.806
  47   0.914   0.811   0.725   0.809   0.805   0.805
  48   0.916   0.805   0.721   0.807   0.806   0.807
  49   0.897   0.819   0.724   0.810   0.808   0.830
  50   0.887   0.812   0.723   0.808   0.810   0.809
  51   0.875   0.808   0.720   0.827   0.803   0.805
  52   0.890   0.811   0.724   0.811   0.815   0.807
  53   0.876   0.806   0.731   0.811   0.803   0.808
  54   0.884   0.807   0.719   0.811   0.805   0.804
  55   0.866   0.811   0.723   0.812   0.808   0.804
  56   0.878   0.812   0.718   0.808   0.823   0.807
  57   0.882   0.811   0.719   0.807   0.805   0.810
  58   0.875   0.808   0.832   0.814   0.810   0.812
  59   0.876   0.812   0.727   0.817   0.810   0.810
  60   0.869   0.813   0.722   0.813   0.810   0.805
  61   0.857   0.809   0.729   0.811   0.805   0.806
  62   0.863   0.843   0.726   0.825   0.817   0.810
  63   0.861   0.906   0.721   0.912   0.811   0.806
  64   0.861   0.811   0.723   0.815   0.948   0.814
  65   0.853   0.814   0.724   0.816   0.811   0.928
  66   0.856   0.813   0.722   0.834   0.816   0.816
  67   0.855   0.813   0.724   0.811   0.817   0.816
  68   0.857   0.813   0.760   0.826   0.812   0.826
  69   0.844   0.814   0.816   0.817   0.809   0.825
  70   0.843   0.815   0.789   0.855   0.824   0.816
  71   0.829   0.812   0.729   0.823   0.814   0.814
  72   0.836   0.827   0.728   0.815   0.819   0.817
  73   0.839   0.817   0.729   0.820   0.807   0.824
  74   0.839   0.894   0.729   0.924   0.811   0.824
  75   0.859   0.908   0.728   0.911   0.919   0.825
  76   0.822   0.812   0.729   0.842   0.888   0.904
  77   0.826   0.814   0.740   0.815   0.830   0.922
  78   0.831   0.816   0.727   0.821   0.813   0.850
  79   0.811   0.818   0.745   0.833   0.814   0.817
  80   0.858   0.858   0.796   0.905   0.809   0.838
  81   0.835   0.824   0.795   0.827   0.814   0.821
  82   0.846   0.891   0.792   0.906   0.820   0.839
  83   0.819   0.835   0.754   0.839   0.816   0.847
  84   0.817   0.817   0.763   0.851   0.817   0.849
  85   0.851   0.903   0.735   0.915   0.813   0.819
  86   0.887   0.923   0.732   0.902   0.917   0.829
  87   0.885   0.819   0.744   0.844   0.868   0.902
  88   0.910   0.816   0.752   0.837   0.829   0.876
  89   0.892   0.811   0.755   0.842   0.813   0.828
  90   0.919   0.822   0.750   0.840   0.815   0.841
  91   0.894   0.908   0.806   0.902   0.830   0.831
  92   0.872   0.880   0.837   0.894   0.897   0.825
  93   0.907   0.882   0.848   0.882   0.900   0.917
  94   0.879   0.889   0.825   0.902   0.908   0.910
  95   0.845   0.897   0.837   0.889   0.916   0.890
  96   0.837   0.866   0.823   0.900   0.918   0.918
  97   0.819   0.877   0.808   0.897   0.905   0.918
  98   0.806   0.889   0.802   0.897   0.896   0.916
  99   0.812   0.892   0.787   0.894   0.894   0.906
 100   0.800   0.873   0.768   0.901   0.883   0.906
 101   0.814   0.883   0.788   0.904   0.914   0.917
 102   0.806   0.875   0.950   0.907   0.888   0.900
 103   0.814   0.885   0.788   0.889   0.904   0.902
