#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   0.876   0.920   0.873   0.912   0.897   0.900
  17   0.849   0.886   0.845   0.878   0.866   0.870
  18   0.827   0.869   0.825   0.868   0.856   0.863
  19   0.810   0.859   0.812   0.853   0.852   0.846
  20   0.796   0.841   0.795   0.838   0.840   0.841
  21   0.784   0.834   0.785   0.833   0.829   0.834
  22   0.774   0.825   0.775   0.826   0.816   0.863
  23   0.766   0.874   0.767   0.819   0.815   0.819
  24   0.760   0.821   0.758   0.817   0.812   0.814
  25   0.753   0.814   0.752   0.811   0.806   0.811
  26   0.751   0.813   0.748   0.818   0.806   0.808
  27   0.744   0.836   0.744   0.811   0.802   0.803
  28   0.741   0.804   0.739   0.807   0.798   0.814
  29   0.736   0.810   0.737   0.842   0.802   0.801
  30   0.733   0.807   0.733   0.806   0.800   0.799
  31   0.732   0.806   0.731   0.804   0.797   0.798
  32   0.729   0.800   0.728   0.814   0.797   0.798
  33   0.727   0.800   0.731   0.799   0.795   0.807
  34   0.724   0.801   0.725   0.802   0.796   0.792
  35   0.723   0.799   0.726   0.801   0.795   0.793
  36   0.722   0.798   0.722   0.799   0.794   0.789
  37   0.721   0.797   0.721   0.797   0.790   0.795
  38   0.719   0.800   0.719   0.798   0.795   0.804
  39   0.718   0.796   0.719   0.798   0.793   0.793
  40   0.717   0.795   0.717   0.803   0.793   0.793
  41   0.716   0.795   0.716   0.796   0.793   0.792
  42   0.715   0.796   0.716   0.797   0.797   0.791
  43   0.715   0.796   0.715   0.940   0.856   0.810
  44   0.719   0.796   0.719   0.807   0.974   0.800
  45   0.713   0.797   0.713   0.798   0.792   0.792
  46   0.712   0.795   0.717   0.796   0.792   0.792
  47   0.714   0.796   0.715   0.801   0.789   0.790
  48   0.711   0.794   0.712   0.796   0.799   0.792
  49   0.712   0.795   0.711   0.795   0.800   0.792
  50   0.712   0.796   0.711   0.799   0.792   0.799
  51   0.710   0.795   0.710   0.796   0.792   0.792
  52   0.709   0.795   0.709   0.795   0.790   0.793
  53   0.709   0.795   0.713   0.796   0.795   0.792
  54   0.709   0.795   0.709   0.796   0.792   0.793
  55   0.708   0.794   0.709   0.795   0.792   0.793
  56   0.708   0.795   0.709   0.795   0.792   0.793
  57   0.707   0.881   0.708   0.796   0.790   0.793
  58   0.707   0.800   0.708   0.797   0.792   0.794
  59   0.788   0.795   0.795   0.796   0.908   0.903
  60   0.707   0.796   0.711   0.797   0.792   0.793
  61   0.707   0.795   0.707   0.797   0.792   0.793
  62   0.706   0.795   0.706   0.796   0.790   0.792
  63   0.706   0.794   0.707   0.795   0.792   0.793
  64   0.706   0.799   0.706   0.797   0.794   0.794
  65   0.710   0.796   0.713   0.799   0.797   0.797
  66   0.711   0.799   0.712   0.798   0.800   0.798
  67   0.714   0.795   0.712   0.798   0.792   0.799
  68   0.715   0.884   0.713   0.798   0.794   0.800
  69   0.714   0.873   0.714   0.800   0.794   0.800
  70   0.786   0.796   0.792   0.799   0.909   0.895
  71   0.794   0.795   0.790   0.798   0.880   0.866
  72   0.709   0.795   0.715   0.798   0.794   0.799
  73   0.711   0.798   0.712   0.801   0.796   0.801
  74   0.712   0.797   0.712   0.801   0.796   0.801
  75   0.712   0.796   0.716   0.802   0.796   0.803
  76   0.715   0.796   0.713   0.802   0.797   0.801
  77   0.715   0.796   0.713   0.805   0.793   0.804
  78   0.713   0.797   0.714   0.804   0.796   0.804
  79   0.717   0.869   0.714   0.807   0.796   0.805
  80   0.715   0.863   0.714   0.808   0.796   0.813
  81   0.772   0.866   0.775   0.814   0.867   0.900
  82   0.772   0.874   0.775   0.810   0.889   0.899
  83   0.777   0.796   0.780   0.810   0.890   0.872
  84   0.717   0.797   0.722   0.810   0.795   0.817
  85   0.718   0.799   0.722   0.809   0.797   0.811
  86   0.718   0.797   0.721   0.811   0.798   0.811
  87   0.717   0.798   0.722   0.811   0.794   0.811
  88   0.718   0.797   0.722   0.810   0.796   0.811
  89   0.718   0.798   0.723   0.808   0.795   0.810
  90   0.718   0.888   0.722   0.813   0.796   0.812
  91   0.719   0.862   0.724   0.809   0.867   0.827
  92   0.722   0.863   0.722   0.815   0.878   0.813
  93   0.784   0.865   0.819   0.874   0.876   0.891
  94   0.821   0.862   0.805   0.870   0.887   0.889
  95   0.809   0.871   0.805   0.875   0.888   0.890
  96   0.809   0.860   0.803   0.899   0.874   0.897
  97   0.809   0.861   0.804   0.874   0.880   0.887
  98   0.805   0.863   0.802   0.873   0.881   0.890
  99   0.763   0.849   0.763   0.862   0.873   0.888
 100   0.758   0.848   0.761   0.862   0.879   0.883
 101   0.758   0.856   0.759   0.862   0.878   0.898
 102   0.753   0.846   0.753   0.861   0.862   0.882
 103   0.790   0.854   0.787   0.865   0.869   0.890
 104   0.794   0.861   0.791   0.866   0.869   0.882
 105   0.791   0.868   0.791   0.874   0.878   0.887
 106   0.793   0.863   0.788   0.874   0.884   0.884
 107   0.792   0.856   0.790   0.869   0.872   0.885
 108   0.749   0.847   0.762   0.861   0.875   0.876
 109   0.795   0.857   0.753   0.868   0.875   0.884
 110   0.747   0.861   0.755   0.870   0.875   0.881
 111   0.750   0.859   0.762   0.870   0.872   0.888
 112   0.751   0.848   0.748   0.864   0.871   0.882
 113   0.750   0.850   0.747   0.866   0.853   0.882
 114   0.756   0.857   0.747   0.870   0.862   0.880
 115   0.748   0.853   0.751   0.870   0.861   0.882
 116   0.744   0.866   0.748   0.872   0.857   0.880
 117   0.745   0.850   0.745   0.862   0.870   0.878
 118   0.744   0.854   0.746   0.865   0.848   0.877
 119   0.747   0.862   0.752   0.870   0.858   0.877
 120   0.744   0.870   0.755   0.869   0.866   0.883
 121   0.752   0.852   0.755   0.862   0.860   0.875
 122   0.743   0.849   0.746   0.863   0.862   0.874
 123   0.744   0.852   0.750   0.863   0.859   0.875
 124   0.743   0.844   0.751   0.862   0.868   0.873
 125   0.743   0.844   0.744   0.862   0.863   0.876
 126   0.782   0.850   0.785   0.863   0.850   0.876
 127   0.782   0.840   0.785   0.860   0.860   0.876
 128   0.742   0.847   0.743   0.862   0.861   0.873
 129   0.759   0.841   0.745   0.862   0.863   0.871
 130   0.785   0.847   0.754   0.867   0.871   0.874
 131   0.739   0.848   0.748   0.864   0.876   0.874
 132   0.750   0.847   0.755   0.864   0.860   0.872
 133   0.739   0.847   0.742   0.866   0.858   0.872
 134   0.740   0.855   0.742   0.876   0.846   0.874
 135   0.749   0.854   0.758   0.868   0.855   0.872
 136   0.752   0.846   0.751   0.874   0.858   0.876
 137   0.784   0.847   0.751   0.884   0.851   0.888
 138   0.742   0.858   0.759   0.882   0.858   0.886
 139   0.743   0.849   0.765   0.883   0.855   0.887
 140   0.784   0.841   0.789   0.893   0.855   0.892
 141   0.783   0.841   0.789   0.894   0.850   0.893
 142   0.783   0.840   0.790   0.891   0.859   0.892
 143   0.763   0.859   0.789   0.893   0.842   0.889
 144   0.783   0.839   0.780   0.894   0.846   0.897
 145   0.783   0.856   0.790   0.894   0.861   0.899
 146   0.783   0.841   0.789   0.897   0.853   0.898
 147   0.783   0.845   0.790   0.902   0.853   0.906
 148   0.784   0.839   0.788   0.899   0.844   0.901
 149   0.781   0.851   0.787   0.896   0.846   0.897
 150   0.781   0.840   0.787   0.901   0.851   0.897
 151   0.781   0.837   0.781   0.896   0.849   0.962
 152   0.763   0.843   0.774   0.901   0.853   0.898
 153   0.756   0.837   0.790   0.906   0.851   0.902
 154   0.748   0.842   0.768   0.900   0.843   0.901
 155   0.753   0.835   0.771   0.900   0.853   0.901
 156   0.749   0.841   0.757   0.902   0.864   0.905
