# Corsair 2 x 16GiB DDR5-4800 DIMM
# L1I 8-way, 32KiB
# L1D 8-way, 32KiB
# L2U 8-way, 1024KiB
# L3U 16-way, 98304KiB
# L1ITLB 4KiB pages, 64 entries
# L1DTLB 4KiB pages, 72 entries
# L1ITLB 2MiB pages, 64 entries
# L1DTLB 2MiB pages, 72 entries
# L1ITLB 1GiB pages, 64 entries
# L1DTLB 1GiB pages, 64 entries
# L2ITLB 4KiB pages, 4-way, 512 entries
# L2DTLB 4KiB pages, 12-way, 3072 entries
# L2ITLB 2MiB pages, 2-way, 512 entries
# L2DTLB 2MiB pages, 6-way, 3072 entries
# L2DTLB 1GiB pages, 64 entries


# page_size=4096
#    bytes   GiB/s   GiB/s       ns       ns       ns
#--------- ------- ------- -------- -------- --------
#     size    read   write latency1 latency2 latency3
#--------- ------- ------- -------- -------- --------
      8192  86.267  70.381    0.794    0.397    0.265
     10240  90.728  71.644    0.794    0.397    0.265
     12288  93.927  71.435    0.794    0.398    0.265
     14336  96.155  71.739    0.794    0.397    0.265
     16384  97.732  71.783    0.795    0.397    0.265
     20480 100.314  72.032    0.795    0.397    0.265
     24576 102.274  72.161    0.795    0.398    0.265
     28672 103.362  72.216    0.795    0.397    0.265
     32768 104.608  72.249    0.795    0.397    0.265
     40960  92.525  70.077    2.893    1.401    0.729
     49152  94.208  70.089    2.893    1.408    0.942
     57344  94.767  70.323    2.893    1.406    0.926
     65536  95.628  70.352    2.893    1.405    0.938
     81920  96.100  70.555    2.893    1.402    0.926
     98304  96.514  70.638    2.893    1.402    0.935
    114688  96.553  70.790    2.893    1.406    0.926
    131072  97.030  70.828    2.893    1.410    0.938
    163840  96.833  70.945    2.893    1.402    0.937
    196608  97.203  71.001    2.893    1.413    0.937
    229376  97.781  70.988    2.893    1.402    0.938
    262144  97.682  70.976    2.893    1.400    0.938
    327680  97.802  70.789    3.085    1.514    1.013
    393216  98.320  70.739    3.401    1.697    1.115
    458752  98.251  70.874    3.628    1.776    1.167
    524288  97.905  70.985    3.603    1.739    1.166
    655360  98.389  70.849    3.950    1.994    1.295
    786432  89.986  68.975    5.007    2.634    1.573
    917504  87.286  67.704    5.833    2.959    1.879
   1048576  84.702  66.545    6.523    3.301    2.159
   1310720  83.226  65.511    8.224    3.973    2.767
   1572864  85.481  65.824    9.192    4.708    3.101
   1835008  87.425  66.089   10.459    5.253    3.572
   2097152  88.284  66.367   10.192    5.128    3.603
   2621440  89.596  66.468   10.710    5.300    3.626
   3145728  90.211  66.478   11.033    5.507    3.675
   3670016  90.197  66.520   11.190    5.609    3.823
   4194304  89.642  66.572   11.515    5.757    3.886
   5242880  89.614  66.350   11.694    5.860    3.957
   6291456  89.777  66.427   11.940    5.988    4.008
   7340032  89.953  66.497   12.033    6.125    4.106
   8388608  89.849  66.417   12.190    6.110    4.075
  10485760  89.682  66.453   12.272    6.139    4.140
  12582912  89.710  66.467   12.396    6.213    4.152
  14680064  89.708  66.504   13.133    6.613    4.431
  16777216  89.735  66.471   13.756    6.959    4.641
  20971520  89.434  66.448   14.516    7.310    4.898
  25165824  89.669  66.427   15.009    7.600    5.134
  29360128  89.681  66.455   15.414    7.770    5.218
  33554432  89.698  66.427   15.792    7.963    5.330
  41943040  88.904  66.389   16.234    8.167    5.487
  50331648  88.580  66.246   16.679    8.416    5.653
  58720256  86.469  65.860   17.318    8.737    5.894
  67108864  84.544  65.113   18.184    9.138    6.251
  83886080  74.882  60.012   22.476   11.287    7.967
 100663296  68.551  51.340   30.356   15.341   10.399
 117440512  64.190  43.373   39.638   20.338   16.454
 134217728  61.661  37.818   48.980   25.271   18.014
 167772160  59.370  32.638   62.637   31.546   26.670
 201326592  58.488  30.253   71.701   35.348   24.480
 234881024  57.936  29.108   77.712   38.491   29.981
 268435456  56.675  28.301   82.580   40.803   29.938
 335544320  55.440  27.252   89.034   44.142   30.776
 402653184  53.687  26.604   93.068   46.154   32.663
 469762048  53.258  26.096   96.227   47.781   35.172
 536870912  51.733  25.655   98.716   49.886   33.194
 671088640  51.036  25.199  102.414   50.496   35.610
 805306368  49.931  24.754  102.911   50.946   35.171
 939524096  49.745  24.513  104.184   51.459   34.428
1073741824  49.359  24.325  104.321   52.192   34.542
#--------- ------- ------- -------- -------- --------


# page_size=2097152
#    bytes   GiB/s   GiB/s       ns       ns       ns
#--------- ------- ------- -------- -------- --------
#     size    read   write latency1 latency2 latency3
#--------- ------- ------- -------- -------- --------
      8192  87.064  70.676    0.794    0.397    0.265
     10240  91.013  71.319    0.794    0.397    0.265
     12288  94.048  71.360    0.794    0.398    0.265
     14336  96.130  71.629    0.794    0.397    0.265
     16384  97.985  71.862    0.795    0.397    0.265
     20480 100.346  71.980    0.795    0.397    0.265
     24576 102.134  72.160    0.795    0.399    0.265
     28672 103.292  72.240    0.795    0.397    0.265
     32768 104.372  71.561    0.852    0.403    0.282
     40960  92.867  69.876    2.893    1.401    0.729
     49152  94.171  69.924    2.893    1.406    0.935
     57344  94.785  70.099    2.893    1.398    0.926
     65536  95.241  70.323    2.893    1.419    0.937
     81920  95.768  70.620    2.893    1.408    0.926
     98304  96.491  70.721    2.893    1.414    0.934
    114688  96.727  70.771    2.893    1.406    0.926
    131072  96.702  70.836    2.893    1.409    0.938
    163840  97.114  70.861    2.893    1.407    0.938
    196608  96.952  71.024    2.893    1.407    0.936
    229376  97.834  70.968    2.893    1.412    0.938
    262144  97.285  71.098    2.893    1.401    0.937
    327680  97.471  71.130    2.893    1.404    0.935
    393216  97.691  71.168    2.893    1.410    0.933
    458752  97.770  71.079    2.893    1.406    0.937
    524288  97.514  71.224    2.893    1.406    0.928
    655360  97.873  71.152    2.893    1.403    0.930
    786432  98.156  71.180    2.893    1.390    0.933
    917504  97.759  71.221    2.896    1.391    0.927
   1048576  90.734  70.025    2.920    1.400    0.937
   1310720  82.747  66.944    7.736    4.189    2.776
   1572864  84.344  66.888    8.848    4.539    3.102
   1835008  85.896  66.610    9.856    4.831    3.251
   2097152  86.532  66.357    9.023    4.703    3.186
   2621440  86.209  66.700    9.323    4.785    3.240
   3145728  85.569  66.823    9.676    4.938    3.233
   3670016  86.092  66.683    9.920    4.938    3.341
   4194304  86.921  66.529    9.972    4.867    3.371
   5242880  85.629  66.700   10.176    5.210    3.447
   6291456  86.687  66.537   10.280    5.199    3.489
   7340032  86.034  66.730   10.513    5.261    3.542
   8388608  86.036  66.549   10.538    5.249    3.538
  10485760  86.106  66.647   10.634    5.325    3.590
  12582912  85.786  66.678   10.701    5.378    3.594
  14680064  86.525  66.674   10.770    5.415    3.647
  16777216  86.364  66.615   10.823    5.412    3.642
  20971520  86.355  66.647   10.841    5.431    3.658
  25165824  86.333  66.673   10.896    5.463    3.663
  29360128  86.057  66.629   10.931    5.481    3.682
  33554432  86.274  66.692   10.934    5.478    3.682
  41943040  86.344  66.580   10.978    5.510    3.697
  50331648  85.993  66.681   10.996    5.515    3.693
  58720256  85.952  66.657   10.998    5.519    3.703
  67108864  85.852  66.678   11.024    5.530    3.708
  83886080  86.164  66.652   11.036    5.534    3.710
 100663296  81.846  63.441   11.896    5.854    3.924
 117440512  61.323  37.652   31.585   15.891   13.958
 134217728  61.346  33.507   41.632   21.497   15.442
 167772160  60.651  30.256   54.330   27.913   24.772
 201326592  59.988  28.902   63.000   31.901   21.479
 234881024  59.573  28.058   68.737   34.146   27.354
 268435456  57.349  27.382   73.246   36.069   26.858
 335544320  54.973  26.429   79.082   39.044   27.944
 402653184  53.293  25.839   82.929   40.989   30.512
 469762048  50.703  25.307   85.637   42.350   31.696
 536870912  50.195  25.013   87.633   44.141   30.179
 671088640  48.407  24.508   89.637   44.503   32.072
 805306368  44.307  24.059   90.772   44.965   31.537
 939524096  44.297  23.811   91.394   45.348   31.231
1073741824  44.240  23.597   91.852   45.874   31.210
#--------- ------- ------- -------- -------- --------


# page_size=1073741824
#    bytes   GiB/s   GiB/s       ns       ns       ns
#--------- ------- ------- -------- -------- --------
#     size    read   write latency1 latency2 latency3
#--------- ------- ------- -------- -------- --------
      8192  86.841  70.626    0.794    0.397    0.265
     10240  90.917  71.546    0.794    0.397    0.265
     12288  93.925  71.410    0.794    0.398    0.265
     14336  95.906  71.578    0.794    0.397    0.265
     16384  97.593  71.874    0.795    0.397    0.265
     20480 100.069  72.018    0.794    0.397    0.265
     24576 101.813  72.125    0.795    0.398    0.265
     28672 103.272  72.227    0.795    0.397    0.265
     32768 104.078  71.678    0.847    0.406    0.283
     40960  92.135  69.989    2.893    1.418    0.729
     49152  93.643  70.083    2.893    1.404    0.936
     57344  94.077  70.355    2.893    1.401    0.926
     65536  94.790  70.434    2.893    1.408    0.938
     81920  95.399  70.656    2.893    1.402    0.927
     98304  95.593  70.757    2.894    1.391    0.936
    114688  95.634  70.958    2.894    1.399    0.927
    131072  95.705  70.957    2.894    1.392    0.938
    163840  96.140  71.073    2.894    1.394    0.939
    196608  96.713  71.055    2.894    1.391    0.938
    229376  96.674  71.132    2.894    1.393    0.937
    262144  96.195  71.232    2.894    1.391    0.938
    327680  96.974  71.183    2.894    1.393    0.936
    393216  96.707  71.271    2.894    1.391    0.934
    458752  97.240  71.259    2.894    1.391    0.937
    524288  96.825  71.278    2.894    1.390    0.928
    655360  96.505  71.402    2.894    1.401    0.930
    786432  97.276  71.220    2.895    1.391    0.934
    917504  97.010  71.254    2.897    1.392    0.927
   1048576  90.739  69.863    2.924    1.401    0.937
   1310720  83.102  66.914    7.424    3.774    2.624
   1572864  84.393  66.896    9.160    4.633    2.997
   1835008  85.996  66.574   10.005    4.847    3.254
   2097152  86.589  66.363    8.704    4.642    3.167
   2621440  86.086  66.603    9.331    4.939    3.202
   3145728  85.709  66.762    9.602    4.900    3.245
   3670016  86.414  66.671    9.869    4.980    3.323
   4194304  86.069  66.552    9.902    4.969    3.386
   5242880  85.916  66.736   10.182    5.100    3.446
   6291456  86.262  66.612   10.445    5.268    3.473
   7340032  86.030  66.670   10.392    5.236    3.547
   8388608  86.555  66.659   10.567    5.297    3.556
  10485760  86.083  66.593   10.650    5.322    3.592
  12582912  86.134  66.544   10.704    5.380    3.590
  14680064  86.347  66.651   10.756    5.384    3.657
  16777216  86.440  66.555   10.843    5.403    3.644
  20971520  86.468  66.611   10.875    5.441    3.661
  25165824  86.403  66.678   10.896    5.457    3.661
  29360128  86.417  66.688   10.929    5.468    3.683
  33554432  86.501  66.648   10.943    5.471    3.686
  41943040  86.341  66.662   10.994    5.512    3.697
  50331648  86.432  66.630   10.998    5.517    3.689
  58720256  86.432  66.673   11.012    5.528    3.702
  67108864  85.933  66.706   11.018    5.526    3.708
  83886080  85.583  66.647   11.044    5.538    3.713
 100663296  80.294  65.580   11.982    5.824    3.965
 117440512  61.735  37.728   31.586   15.889   13.943
 134217728  61.049  33.708   40.912   21.077   15.426
 167772160  60.046  30.336   54.137   27.840   24.452
 201326592  59.639  28.914   62.540   31.770   21.272
 234881024  58.883  28.018   68.078   33.740   27.212
 268435456  57.001  27.401   72.470   35.696   27.851
 335544320  55.865  26.561   78.209   38.570   27.638
 402653184  54.505  25.978   81.888   40.449   30.057
 469762048  52.672  25.546   84.530   41.775   31.378
 536870912  50.111  25.050   86.704   43.365   30.108
 671088640  48.484  24.597   89.366   44.099   31.679
 805306368  46.390  24.172   89.687   44.054   31.406
 939524096  44.205  23.777   90.915   44.511   30.936
1073741824  44.261  23.568   90.453   45.263   30.909
#--------- ------- ------- -------- -------- --------
