# 24GiB, HBM memory


# page_size=16384
#    bytes   GiB/s   GiB/s       ns       ns       ns
#--------- ------- ------- -------- -------- --------
#     size    read   write latency1 latency2 latency3
#--------- ------- ------- -------- -------- --------
      8192  53.124 103.942    0.856    0.428    0.285
     10240  68.467 104.088    0.856    0.428    0.286
     12288  68.655 104.153    0.856    0.428    0.285
     14336  68.790 104.176    0.856    0.428    0.285
     16384  68.894 104.220    0.856    0.428    0.285
     20480  68.183 104.248    0.856    0.428    0.285
     24576  69.128 104.279    0.856    0.428    0.285
     28672  68.650 104.289    0.856    0.428    0.285
     32768  68.763 104.273    0.856    0.428    0.285
     40960  68.945 104.319    0.856    0.428    0.285
     49152  69.041 104.335    0.856    0.428    0.285
     57344  69.134 104.350    0.856    0.428    0.285
     65536  69.198 104.350    0.856    0.428    0.285
     81920  69.276 104.142    0.856    0.428    0.285
     98304  69.335 103.942    0.856    0.428    0.285
    114688  69.371 103.610    0.856    0.428    0.285
    131072  69.404 103.713    0.857    0.428    0.286
    163840  68.995  64.854    4.113    2.121    1.566
    196608  69.140  64.869    4.752    2.482    1.680
    229376  69.209  64.869    5.523    2.771    1.770
    262144  69.254  64.855    5.310    2.755    1.819
    327680  68.429  64.874    5.566    2.783    1.861
    393216  69.229  64.855    5.566    2.787    1.881
    458752  69.282  64.848    5.565    2.783    1.872
    524288  69.324  64.860    5.543    2.782    1.854
    655360  69.389  64.887    5.565    2.789    1.875
    786432  69.423  64.843    5.566    2.764    1.879
    917504  69.453  64.895    5.565    2.790    1.861
   1048576  69.475  64.900    5.562    2.781    1.877
   1310720  69.502  64.895    5.566    2.792    1.873
   1572864  69.478  64.857    5.566    2.783    1.881
   1835008  69.506  64.883    5.523    2.772    1.858
   2097152  69.516  64.910    5.564    2.782    1.877
   2621440  69.223  64.610    5.591    2.804    1.887
   3145728  69.282  64.675    5.586    2.802    1.888
   3670016  69.313  64.714    5.583    2.803    1.881
   4194304  69.349  64.759    5.583    2.801    1.885
   5242880  68.458  64.172    5.992    3.010    2.024
   6291456  68.541  64.262    6.218    3.153    2.169
   7340032  68.229  64.038    6.628    3.325    2.250
   8388608  67.720  63.493    6.672    3.384    2.318
  10485760  67.497  63.341    7.256    3.627    2.425
  12582912  66.761  62.578    8.591    4.370    2.973
  14680064  65.356  61.258    9.998    5.201    3.265
  16777216  65.361  61.142   11.044    5.734    3.840
  20971520  65.835  61.626   15.246    8.027    5.409
  25165824  65.683  56.542   28.327   14.591    9.846
  29360128  65.200  50.507   42.801   21.868   15.315
  33554432  64.680  47.878   52.894   27.016   18.795
  41943040  63.971  44.432   67.846   33.507   22.632
  50331648  63.469  43.589   74.695   37.436   24.998
  58720256  62.360  41.526   80.480   40.182   27.081
  67108864  62.218  41.353   84.337   41.952   28.349
  83886080  61.385  39.014   89.696   44.369   29.809
 100663296  60.758  37.472   93.102   45.940   30.849
 117440512  60.121  36.483   95.392   46.976   31.407
 134217728  59.574  36.131   97.150   47.793   32.063
 167772160  58.556  36.830   99.467   48.951   32.795
 201326592  58.156  34.902  101.057   49.703   33.327
 234881024  57.953  34.689  102.142   50.216   33.508
 268435456  57.920  34.520  102.985   50.622   33.899
 335544320  57.603  34.602  104.128   51.168   34.289
 402653184  57.578  34.539  104.881   51.537   34.543
 469762048  57.625  34.528  105.407   51.790   34.675
 536870912  57.614  34.388  105.817   51.991   34.840
 671088640  57.030  34.847  106.374   52.252   34.979
 805306368  57.148  34.891  106.749   52.444   35.148
 939524096  57.320  33.665  107.001   52.574   35.275
1073741824  57.440  32.897  106.975   52.492   35.170
#--------- ------- ------- -------- -------- --------
